symbol,timeframe,time,open,high,low,close,volume,bid,ask,spread,nmp_low,nmp_high
T.ext,M1,2026.05.01 21:08:00,26.18000,26.19000,26.17000,26.17000,4,26.20000,26.34000,14.00,0,0
T.ext,M1,2026.05.01 21:09:00,26.18000,26.18000,26.16000,26.18000,15,26.20000,26.34000,14.00,0,0
T.ext,M1,2026.05.01 21:10:00,26.17000,26.18000,26.16000,26.17000,19,26.20000,26.34000,14.00,0,0
T.ext,M1,2026.05.01 21:11:00,26.19000,26.19000,26.17000,26.17000,2,26.20000,26.34000,14.00,0,0
T.ext,M1,2026.05.01 21:12:00,26.18000,26.19000,26.17000,26.17000,4,26.20000,26.34000,14.00,0,0
T.ext,M1,2026.05.01 21:13:00,26.18000,26.18000,26.16000,26.18000,4,26.20000,26.34000,14.00,0,0
T.ext,M1,2026.05.01 21:14:00,26.15000,26.17000,26.15000,26.17000,4,26.20000,26.34000,14.00,0,0
T.ext,M1,2026.05.01 21:15:00,26.15000,26.17000,26.15000,26.16000,4,26.20000,26.34000,14.00,0,0
T.ext,M1,2026.05.01 21:16:00,26.15000,26.17000,26.15000,26.17000,7,26.20000,26.34000,14.00,0,0
T.ext,M1,2026.05.01 21:17:00,26.15000,26.18000,26.15000,26.16000,12,26.20000,26.34000,14.00,0,0
T.ext,M1,2026.05.01 21:18:00,26.18000,26.18000,26.17000,26.18000,3,26.20000,26.34000,14.00,0,0
T.ext,M1,2026.05.01 21:19:00,26.16000,26.18000,26.16000,26.18000,2,26.20000,26.34000,14.00,0,0
T.ext,M1,2026.05.01 21:20:00,26.16000,26.18000,26.16000,26.18000,2,26.20000,26.34000,14.00,0,0
T.ext,M1,2026.05.01 21:21:00,26.16000,26.18000,26.16000,26.18000,4,26.20000,26.34000,14.00,0,0
T.ext,M1,2026.05.01 21:22:00,26.17000,26.19000,26.17000,26.19000,3,26.20000,26.34000,14.00,0,0
T.ext,M1,2026.05.01 21:23:00,26.16000,26.18000,26.16000,26.18000,3,26.20000,26.34000,14.00,0,0
T.ext,M1,2026.05.01 21:24:00,26.17000,26.17000,26.15000,26.17000,4,26.20000,26.34000,14.00,0,0
T.ext,M1,2026.05.01 21:25:00,26.16000,26.17000,26.15000,26.16000,9,26.20000,26.34000,14.00,0,0
T.ext,M1,2026.05.01 21:26:00,26.18000,26.18000,26.17000,26.17000,2,26.20000,26.34000,14.00,0,0
T.ext,M1,2026.05.01 21:27:00,26.18000,26.19000,26.17000,26.19000,3,26.20000,26.34000,14.00,0,0
T.ext,M1,2026.05.01 21:28:00,26.18000,26.21000,26.18000,26.21000,5,26.20000,26.34000,14.00,0,0
T.ext,M1,2026.05.01 21:29:00,26.19000,26.20000,26.19000,26.19000,3,26.20000,26.34000,14.00,0,0
T.ext,M1,2026.05.01 21:30:00,26.22000,26.22000,26.19000,26.21000,4,26.20000,26.34000,14.00,0,0
T.ext,M1,2026.05.01 21:31:00,26.19000,26.21000,26.19000,26.21000,2,26.20000,26.34000,14.00,0,0
T.ext,M1,2026.05.01 21:32:00,26.20000,26.21000,26.19000,26.21000,5,26.20000,26.34000,14.00,0,0
T.ext,M1,2026.05.01 21:33:00,26.19000,26.21000,26.19000,26.21000,3,26.20000,26.34000,14.00,0,0
T.ext,M1,2026.05.01 21:34:00,26.20000,26.21000,26.20000,26.21000,2,26.20000,26.34000,14.00,0,0
T.ext,M1,2026.05.01 21:35:00,26.19000,26.20000,26.18000,26.19000,4,26.20000,26.34000,14.00,0,0
T.ext,M1,2026.05.01 21:36:00,26.18000,26.20000,26.18000,26.20000,4,26.20000,26.34000,14.00,0,0
T.ext,M1,2026.05.01 21:37:00,26.19000,26.20000,26.19000,26.20000,4,26.20000,26.34000,14.00,0,0
T.ext,M1,2026.05.01 21:38:00,26.19000,26.19000,26.18000,26.19000,3,26.20000,26.34000,14.00,0,0
T.ext,M1,2026.05.01 21:39:00,26.18000,26.20000,26.18000,26.20000,3,26.20000,26.34000,14.00,0,0
T.ext,M1,2026.05.01 21:40:00,26.18000,26.20000,26.18000,26.20000,2,26.20000,26.34000,14.00,0,0
T.ext,M1,2026.05.01 21:41:00,26.18000,26.19000,26.18000,26.18000,3,26.20000,26.34000,14.00,0,0
T.ext,M1,2026.05.01 21:42:00,26.20000,26.20000,26.18000,26.20000,10,26.20000,26.34000,14.00,0,0
T.ext,M1,2026.05.01 21:43:00,26.20000,26.21000,26.20000,26.20000,3,26.20000,26.34000,14.00,0,0
T.ext,M1,2026.05.01 21:45:00,26.21000,26.21000,26.20000,26.20000,2,26.20000,26.34000,14.00,0,0
T.ext,M1,2026.05.01 21:46:00,26.21000,26.21000,26.19000,26.21000,4,26.20000,26.34000,14.00,0,0
T.ext,M1,2026.05.01 21:47:00,26.20000,26.22000,26.20000,26.21000,5,26.20000,26.34000,14.00,0,0
T.ext,M1,2026.05.01 21:48:00,26.22000,26.22000,26.20000,26.22000,5,26.20000,26.34000,14.00,0,0
T.ext,M1,2026.05.01 21:49:00,26.21000,26.22000,26.21000,26.22000,2,26.20000,26.34000,14.00,0,0
T.ext,M1,2026.05.01 21:50:00,26.20000,26.20000,26.20000,26.20000,1,26.20000,26.34000,14.00,0,0
T.ext,M1,2026.05.01 21:51:00,26.21000,26.22000,26.20000,26.20000,6,26.20000,26.34000,14.00,0,0
T.ext,M1,2026.05.01 21:52:00,26.22000,26.22000,26.22000,26.22000,1,26.20000,26.34000,14.00,0,0
T.ext,M1,2026.05.01 21:53:00,26.21000,26.21000,26.20000,26.20000,2,26.20000,26.34000,14.00,0,0
T.ext,M1,2026.05.01 21:54:00,26.21000,26.21000,26.21000,26.21000,1,26.20000,26.34000,14.00,0,0
T.ext,M1,2026.05.01 21:55:00,26.22000,26.22000,26.20000,26.21000,3,26.20000,26.34000,14.00,0,0
T.ext,M1,2026.05.01 21:56:00,26.20000,26.21000,26.18000,26.18000,4,26.20000,26.34000,14.00,0,0
T.ext,M1,2026.05.01 21:57:00,26.21000,26.21000,26.19000,26.20000,3,26.20000,26.34000,14.00,0,0
T.ext,M1,2026.05.01 21:58:00,26.21000,26.21000,26.19000,26.20000,3,26.20000,26.34000,14.00,0,0
T.ext,M1,2026.05.01 21:59:00,26.20000,26.20000,26.20000,26.20000,1,26.20000,26.34000,14.00,0,0
T.ext,M1,2026.05.01 22:00:00,26.21000,26.21000,26.19000,26.20000,7,26.20000,26.34000,14.00,0,0
T.ext,M1,2026.05.01 22:01:00,26.18000,26.19000,26.18000,26.19000,6,26.20000,26.34000,14.00,0,0
T.ext,M1,2026.05.01 22:02:00,26.20000,26.21000,26.20000,26.21000,2,26.20000,26.34000,14.00,0,0
T.ext,M1,2026.05.01 22:03:00,26.19000,26.19000,26.18000,26.19000,3,26.20000,26.34000,14.00,0,0
T.ext,M1,2026.05.01 22:04:00,26.18000,26.19000,26.17000,26.17000,7,26.20000,26.34000,14.00,0,0
T.ext,M1,2026.05.01 22:05:00,26.19000,26.19000,26.19000,26.19000,1,26.20000,26.34000,14.00,0,0
T.ext,M1,2026.05.01 22:06:00,26.18000,26.18000,26.18000,26.18000,1,26.20000,26.34000,14.00,0,0
T.ext,M1,2026.05.01 22:07:00,26.19000,26.19000,26.17000,26.17000,3,26.20000,26.34000,14.00,0,0
T.ext,M1,2026.05.01 22:08:00,26.18000,26.20000,26.17000,26.20000,3,26.20000,26.34000,14.00,0,0
T.ext,M1,2026.05.01 22:09:00,26.19000,26.19000,26.17000,26.17000,7,26.20000,26.34000,14.00,0,0
T.ext,M1,2026.05.01 22:10:00,26.19000,26.20000,26.17000,26.19000,6,26.20000,26.34000,14.00,0,0
T.ext,M1,2026.05.01 22:11:00,26.17000,26.18000,26.17000,26.18000,2,26.20000,26.34000,14.00,0,0
T.ext,M1,2026.05.01 22:12:00,26.16000,26.18000,26.16000,26.18000,3,26.20000,26.34000,14.00,0,0
T.ext,M1,2026.05.01 22:13:00,26.17000,26.19000,26.17000,26.18000,5,26.20000,26.34000,14.00,0,0
