symbol,timeframe,time,open,high,low,close,volume,bid,ask,spread,nmp_low,nmp_high
UAL.us,M5,2026.04.30 21:05:00,90.05000,90.10000,89.87000,89.91000,67,91.96000,92.12000,16.00,0,0
UAL.us,M5,2026.04.30 21:10:00,89.91000,89.95000,89.88000,89.88000,51,91.96000,92.12000,16.00,0,0
UAL.us,M5,2026.04.30 21:15:00,89.89000,89.90000,89.82000,89.88000,72,91.96000,92.12000,16.00,0,0
UAL.us,M5,2026.04.30 21:20:00,89.87000,89.94000,89.81000,89.89000,76,91.96000,92.12000,16.00,0,0
UAL.us,M5,2026.04.30 21:25:00,89.86000,89.91000,89.81000,89.86000,65,91.96000,92.12000,16.00,0,0
UAL.us,M5,2026.04.30 21:30:00,89.91000,89.93000,89.82000,89.92000,78,91.96000,92.12000,16.00,0,0
UAL.us,M5,2026.04.30 21:35:00,89.92000,90.07000,89.85000,90.02000,75,91.96000,92.12000,16.00,0,0
UAL.us,M5,2026.04.30 21:40:00,89.99000,90.03000,89.92000,89.93000,77,91.96000,92.12000,16.00,0,0
UAL.us,M5,2026.04.30 21:45:00,89.93000,90.02000,89.90000,89.95000,81,91.96000,92.12000,16.00,0,0
UAL.us,M5,2026.04.30 21:50:00,89.94000,90.08000,89.88000,89.97000,96,91.96000,92.12000,16.00,0,0
UAL.us,M5,2026.04.30 21:55:00,89.96000,90.07000,89.93000,89.97000,83,91.96000,92.12000,16.00,0,0
UAL.us,M5,2026.04.30 22:00:00,89.99000,90.29000,89.94000,90.28000,85,91.96000,92.12000,16.00,0,0
UAL.us,M5,2026.04.30 22:05:00,90.29000,90.29000,90.16000,90.27000,80,91.96000,92.12000,16.00,0,0
UAL.us,M5,2026.04.30 22:10:00,90.27000,90.35000,90.26000,90.32000,75,91.96000,92.12000,16.00,0,0
UAL.us,M5,2026.04.30 22:15:00,90.27000,90.28000,90.07000,90.08000,93,91.96000,92.12000,16.00,0,0
UAL.us,M5,2026.04.30 22:20:00,90.09000,90.09000,89.93000,90.01000,95,91.96000,92.12000,16.00,0,0
UAL.us,M5,2026.04.30 22:25:00,90.03000,90.06000,89.79000,89.81000,84,91.96000,92.12000,16.00,0,0
UAL.us,M5,2026.04.30 22:30:00,89.81000,89.84000,89.63000,89.77000,95,91.96000,92.12000,16.00,0,0
UAL.us,M5,2026.04.30 22:35:00,89.76000,89.84000,89.55000,89.72000,87,91.96000,92.12000,16.00,0,0
UAL.us,M5,2026.04.30 22:40:00,89.70000,89.81000,89.64000,89.74000,103,91.96000,92.12000,16.00,0,0
UAL.us,M5,2026.04.30 22:45:00,89.75000,89.92000,89.68000,89.87000,138,91.96000,92.12000,16.00,0,0
UAL.us,M5,2026.04.30 22:50:00,89.87000,90.05000,89.71000,89.93000,224,91.96000,92.12000,16.00,0,0
UAL.us,M5,2026.04.30 22:55:00,89.93000,90.03000,89.49000,89.78000,223,91.96000,92.12000,16.00,0,0
UAL.us,M5,2026.05.01 16:30:00,89.87000,90.15000,89.04000,89.26000,141,91.96000,92.12000,16.00,0,0
UAL.us,M5,2026.05.01 16:35:00,89.21000,90.31000,89.19000,89.68000,209,91.96000,92.12000,16.00,0,0
UAL.us,M5,2026.05.01 16:40:00,89.68000,90.15000,89.55000,90.14000,180,91.96000,92.12000,16.00,0,0
UAL.us,M5,2026.05.01 16:45:00,90.16000,90.30000,89.97000,90.13000,169,91.96000,92.12000,16.00,0,0
UAL.us,M5,2026.05.01 16:50:00,90.12000,90.40000,89.88000,90.40000,132,91.96000,92.12000,16.00,0,0
UAL.us,M5,2026.05.01 16:55:00,90.40000,91.75000,90.38000,91.46000,210,91.96000,92.12000,16.00,0,0
UAL.us,M5,2026.05.01 17:00:00,91.41000,91.83000,90.84000,91.17000,143,91.96000,92.12000,16.00,0,0
UAL.us,M5,2026.05.01 17:05:00,90.85000,91.73000,90.84000,91.50000,149,91.96000,92.12000,16.00,0,0
UAL.us,M5,2026.05.01 17:10:00,91.31000,91.51000,91.03000,91.41000,117,91.96000,92.12000,16.00,0,0
