symbol,timeframe,time,open,high,low,close,volume,bid,ask,spread,nmp_low,nmp_high
UBER.ext,H1,2026.04.27 19:00:00,76.29000,76.49000,76.05000,76.13000,1986,75.03000,75.28000,25.00,0,0
UBER.ext,H1,2026.04.27 20:00:00,76.14000,76.83000,76.07000,76.49000,2061,75.03000,75.28000,25.00,0,0
UBER.ext,H1,2026.04.27 21:00:00,76.50000,76.79000,76.30000,76.30000,1702,75.03000,75.28000,25.00,0,0
UBER.ext,H1,2026.04.27 22:00:00,76.33000,76.52000,76.03000,76.15000,1870,75.03000,75.28000,25.00,0,0
UBER.ext,H1,2026.04.27 23:00:00,76.04000,76.22000,75.89000,76.05000,48,75.03000,75.28000,25.00,0,0
UBER.ext,H1,2026.04.28 00:00:00,76.04000,76.19000,75.99000,76.11000,7,75.03000,75.28000,25.00,0,0
UBER.ext,H1,2026.04.28 01:00:00,76.11000,76.27000,76.11000,76.19000,30,75.03000,75.28000,25.00,0,0
UBER.ext,H1,2026.04.28 02:00:00,76.24000,76.35000,76.18000,76.18000,68,75.03000,75.28000,25.00,0,0
UBER.ext,H1,2026.04.28 03:00:00,76.08000,76.32000,76.08000,76.30000,64,75.03000,75.28000,25.00,0,0
UBER.ext,H1,2026.04.28 04:00:00,75.96000,76.32000,75.96000,76.27000,40,75.03000,75.28000,25.00,0,0
UBER.ext,H1,2026.04.28 05:00:00,76.26000,76.28000,75.98000,76.08000,33,75.03000,75.28000,25.00,0,0
UBER.ext,H1,2026.04.28 06:00:00,76.09000,76.24000,75.97000,76.17000,47,75.03000,75.28000,25.00,0,0
UBER.ext,H1,2026.04.28 07:00:00,75.97000,76.20000,75.96000,76.20000,41,75.03000,75.28000,25.00,0,0
UBER.ext,H1,2026.04.28 08:00:00,75.96000,76.19000,75.96000,76.00000,69,75.03000,75.28000,25.00,0,0
UBER.ext,H1,2026.04.28 09:00:00,76.01000,76.24000,75.96000,76.17000,108,75.03000,75.28000,25.00,0,0
UBER.ext,H1,2026.04.28 10:00:00,76.01000,76.13000,75.96000,76.13000,1865,75.03000,75.28000,25.00,0,0
UBER.ext,H1,2026.04.28 11:00:00,76.35000,76.35000,76.16000,76.19000,129,75.03000,75.28000,25.00,0,0
UBER.ext,H1,2026.04.28 12:00:00,76.16000,76.59000,76.16000,76.30000,306,75.03000,75.28000,25.00,0,0
UBER.ext,H1,2026.04.28 13:00:00,76.28000,76.46000,76.18000,76.20000,34,75.03000,75.28000,25.00,0,0
UBER.ext,H1,2026.04.28 14:00:00,76.18000,76.21000,75.67000,75.76000,148,75.03000,75.28000,25.00,0,0
UBER.ext,H1,2026.04.28 15:00:00,75.75000,76.09000,75.67000,76.08000,165,75.03000,75.28000,25.00,0,0
UBER.ext,H1,2026.04.28 16:00:00,76.09000,76.54000,75.49000,75.90000,2580,75.03000,75.28000,25.00,0,0
UBER.ext,H1,2026.04.28 17:00:00,75.89000,76.08000,74.79000,74.93000,4436,75.03000,75.28000,25.00,0,0
UBER.ext,H1,2026.04.28 18:00:00,74.93000,75.29000,74.62000,74.86000,2697,75.03000,75.28000,25.00,0,0
UBER.ext,H1,2026.04.28 19:00:00,74.87000,74.93000,74.44000,74.60000,1895,75.03000,75.28000,25.00,0,0
UBER.ext,H1,2026.04.28 20:00:00,74.59000,74.84000,74.41000,74.74000,1316,75.03000,75.28000,25.00,0,0
UBER.ext,H1,2026.04.28 21:00:00,74.73000,74.81000,74.46000,74.47000,1502,75.03000,75.28000,25.00,0,0
UBER.ext,H1,2026.04.28 22:00:00,74.48000,74.50000,73.95000,73.99000,2132,75.03000,75.28000,25.00,0,0
UBER.ext,H1,2026.04.28 23:00:00,74.00000,74.10000,73.93000,74.05000,41,75.03000,75.28000,25.00,0,0
UBER.ext,H1,2026.04.29 00:00:00,74.03000,74.15000,74.02000,74.04000,44,75.03000,75.28000,25.00,0,0
UBER.ext,H1,2026.04.29 01:00:00,74.08000,74.09000,74.04000,74.07000,30,75.03000,75.28000,25.00,0,0
UBER.ext,H1,2026.04.29 02:00:00,74.05000,74.09000,73.93000,73.94000,27,75.03000,75.28000,25.00,0,0
UBER.ext,H1,2026.04.29 03:00:00,74.00000,74.26000,73.89000,74.15000,70,75.03000,75.28000,25.00,0,0
UBER.ext,H1,2026.04.29 04:00:00,74.21000,74.28000,74.13000,74.24000,57,75.03000,75.28000,25.00,0,0
UBER.ext,H1,2026.04.29 05:00:00,74.30000,74.33000,74.23000,74.24000,60,75.03000,75.28000,25.00,0,0
UBER.ext,H1,2026.04.29 06:00:00,74.25000,74.34000,74.23000,74.28000,32,75.03000,75.28000,25.00,0,0
