symbol,timeframe,time,open,high,low,close,volume,bid,ask,spread,nmp_low,nmp_high
UK100,D1,2025.12.08 00:00:00,9666.39000,9682.36000,9624.94000,9645.16000,25195,10376.55000,10379.05000,250.00,0,0
UK100,D1,2025.12.09 00:00:00,9652.08000,9676.52000,9609.61000,9614.82000,24812,10376.55000,10379.05000,250.00,0,0
UK100,D1,2025.12.10 00:00:00,9609.13000,9692.93000,9609.13000,9683.61000,33117,10376.55000,10379.05000,250.00,0,0
UK100,D1,2025.12.11 00:00:00,9671.63000,9734.93000,9633.56000,9723.13000,35292,10376.55000,10379.05000,250.00,0,0
UK100,D1,2025.12.12 00:00:00,9717.59000,9764.29000,9632.78000,9664.60000,39699,10376.55000,10379.05000,250.00,0,0
UK100,D1,2025.12.15 00:00:00,9675.25000,9774.70000,9669.81000,9756.52000,32059,10376.55000,10379.05000,250.00,0,0
UK100,D1,2025.12.16 00:00:00,9747.36000,9764.07000,9657.05000,9684.10000,44755,10376.55000,10379.05000,250.00,0,0
UK100,D1,2025.12.17 00:00:00,9675.92000,9858.38000,9673.73000,9754.68000,43120,10376.55000,10379.05000,250.00,0,0
UK100,D1,2025.12.18 00:00:00,9760.62000,9850.57000,9744.34000,9802.13000,39347,10376.55000,10379.05000,250.00,0,0
UK100,D1,2025.12.19 00:00:00,9819.37000,9939.11000,9814.35000,9897.05000,29865,10376.55000,10379.05000,250.00,0,0
UK100,D1,2025.12.22 00:00:00,9906.15000,9923.66000,9850.59000,9887.91000,21173,10376.55000,10379.05000,250.00,0,0
UK100,D1,2025.12.23 00:00:00,9888.01000,9922.98000,9863.98000,9900.76000,20866,10376.55000,10379.05000,250.00,0,0
UK100,D1,2025.12.24 00:00:00,9904.43000,9914.15000,9878.44000,9887.40000,4682,10376.55000,10379.05000,250.00,0,0
UK100,D1,2025.12.29 00:00:00,9921.95000,9929.00000,9883.40000,9901.20000,23974,10376.55000,10379.05000,250.00,0,0
UK100,D1,2025.12.30 00:00:00,9888.92000,9978.87000,9876.71000,9965.91000,19090,10376.55000,10379.05000,250.00,0,0
UK100,D1,2025.12.31 00:00:00,9956.37000,9980.94000,9932.83000,9970.59000,6154,10376.55000,10379.05000,250.00,0,0
UK100,D1,2026.01.02 00:00:00,9967.81000,10071.47000,9945.52000,10020.25000,34920,10376.55000,10379.05000,250.00,0,0
UK100,D1,2026.01.05 00:00:00,10036.71000,10048.72000,9974.86000,10046.18000,35978,10376.55000,10379.05000,250.00,0,0
UK100,D1,2026.01.06 00:00:00,10043.47000,10179.18000,10041.47000,10125.73000,31057,10376.55000,10379.05000,250.00,0,0
UK100,D1,2026.01.07 00:00:00,10126.84000,10134.32000,10031.87000,10044.32000,32617,10376.55000,10379.05000,250.00,0,0
UK100,D1,2026.01.08 00:00:00,10042.36000,10091.34000,10010.79000,10090.10000,34165,10376.55000,10379.05000,250.00,0,0
UK100,D1,2026.01.09 00:00:00,10093.68000,10161.98000,10074.21000,10159.41000,29231,10376.55000,10379.05000,250.00,0,0
UK100,D1,2026.01.12 00:00:00,10154.82000,10171.72000,10114.97000,10170.00000,25046,10376.55000,10379.05000,250.00,0,0
UK100,D1,2026.01.13 00:00:00,10161.86000,10174.91000,10115.29000,10167.61000,26972,10376.55000,10379.05000,250.00,0,0
UK100,D1,2026.01.14 00:00:00,10164.63000,10241.38000,10155.66000,10241.38000,34918,10376.55000,10379.05000,250.00,0,0
UK100,D1,2026.01.15 00:00:00,10232.92000,10270.35000,10190.10000,10242.91000,31874,10376.55000,10379.05000,250.00,0,0
UK100,D1,2026.01.16 00:00:00,10246.09000,10277.03000,10230.02000,10271.57000,24419,10376.55000,10379.05000,250.00,0,0
UK100,D1,2026.01.19 00:00:00,10156.82000,10249.78000,10156.81000,10198.82000,29356,10376.55000,10379.05000,250.00,0,0
UK100,D1,2026.01.20 00:00:00,10196.23000,10206.73000,10065.66000,10117.98000,53351,10376.55000,10379.05000,250.00,0,0
UK100,D1,2026.01.21 00:00:00,10127.41000,10238.97000,10109.35000,10224.16000,57751,10376.55000,10379.05000,250.00,0,0
UK100,D1,2026.01.22 00:00:00,10232.32000,10244.51000,10156.12000,10161.08000,37643,10376.55000,10379.05000,250.00,0,0
UK100,D1,2026.01.23 00:00:00,10157.88000,10199.33000,10129.92000,10165.62000,37412,10376.55000,10379.05000,250.00,0,0
UK100,D1,2026.01.26 00:00:00,10141.03000,10202.44000,10133.77000,10171.22000,34096,10376.55000,10379.05000,250.00,0,0
