symbol,timeframe,time,open,high,low,close,volume,bid,ask,spread,nmp_low,nmp_high
UK100,M1,2026.05.01 21:54:00,10383.57000,10384.57000,10383.57000,10384.32000,7,10376.55000,10379.05000,250.00,0,0
UK100,M1,2026.05.01 21:55:00,10384.05000,10385.07000,10383.55000,10385.07000,13,10376.55000,10379.05000,250.00,0,0
UK100,M1,2026.05.01 21:56:00,10385.80000,10385.80000,10384.05000,10384.31000,16,10376.55000,10379.05000,250.00,0,0
UK100,M1,2026.05.01 21:57:00,10384.07000,10384.30000,10383.81000,10383.81000,4,10376.55000,10379.05000,250.00,0,0
UK100,M1,2026.05.01 21:58:00,10384.05000,10385.55000,10384.05000,10384.55000,8,10376.55000,10379.05000,250.00,0,0
UK100,M1,2026.05.01 21:59:00,10385.07000,10385.07000,10382.05000,10382.05000,12,10376.55000,10379.05000,250.00,0,0
UK100,M1,2026.05.01 22:00:00,10381.06000,10382.30000,10380.81000,10382.30000,9,10376.55000,10379.05000,250.00,0,0
UK100,M1,2026.05.01 22:01:00,10382.80000,10383.07000,10382.55000,10383.07000,5,10376.55000,10379.05000,250.00,0,0
UK100,M1,2026.05.01 22:02:00,10382.80000,10382.80000,10382.56000,10382.56000,2,10376.55000,10379.05000,250.00,0,0
UK100,M1,2026.05.01 22:03:00,10382.57000,10382.57000,10382.30000,10382.30000,2,10376.55000,10379.05000,250.00,0,0
UK100,M1,2026.05.01 22:04:00,10382.06000,10382.06000,10379.82000,10380.32000,12,10376.55000,10379.05000,250.00,0,0
UK100,M1,2026.05.01 22:05:00,10380.55000,10382.07000,10380.55000,10381.82000,23,10376.55000,10379.05000,250.00,0,0
UK100,M1,2026.05.01 22:06:00,10381.07000,10381.07000,10379.30000,10379.30000,8,10376.55000,10379.05000,250.00,0,0
UK100,M1,2026.05.01 22:07:00,10379.55000,10379.55000,10378.82000,10378.82000,4,10376.55000,10379.05000,250.00,0,0
UK100,M1,2026.05.01 22:08:00,10379.07000,10380.57000,10379.07000,10380.06000,5,10376.55000,10379.05000,250.00,0,0
UK100,M1,2026.05.01 22:09:00,10380.80000,10381.31000,10380.80000,10381.31000,3,10376.55000,10379.05000,250.00,0,0
