symbol,timeframe,time,open,high,low,close,volume,bid,ask,spread,nmp_low,nmp_high
UKOil,M1,2026.05.01 21:54:00,108.48100,108.55100,108.46100,108.46500,40,108.48100,108.54100,60.00,0,0
UKOil,M1,2026.05.01 21:55:00,108.45600,108.47100,108.31500,108.32000,46,108.48100,108.54100,60.00,0,0
UKOil,M1,2026.05.01 21:56:00,108.30900,108.51900,108.29500,108.50400,72,108.48100,108.54100,60.00,0,0
UKOil,M1,2026.05.01 21:57:00,108.48900,108.55000,108.46100,108.53600,34,108.48100,108.54100,60.00,0,0
UKOil,M1,2026.05.01 21:58:00,108.53500,108.55100,108.46600,108.53900,45,108.48100,108.54100,60.00,0,0
UKOil,M1,2026.05.01 21:59:00,108.55600,108.59100,108.47600,108.48400,36,108.48100,108.54100,60.00,0,0
UKOil,M1,2026.05.01 22:00:00,108.48500,108.51500,108.44500,108.45600,83,108.48100,108.54100,60.00,0,0
UKOil,M1,2026.05.01 22:01:00,108.43500,108.46900,108.38400,108.39400,75,108.48100,108.54100,60.00,0,0
UKOil,M1,2026.05.01 22:02:00,108.40500,108.47100,108.38900,108.45600,89,108.48100,108.54100,60.00,0,0
UKOil,M1,2026.05.01 22:03:00,108.46600,108.50000,108.42900,108.49400,39,108.48100,108.54100,60.00,0,0
UKOil,M1,2026.05.01 22:04:00,108.50600,108.53600,108.49400,108.52500,26,108.48100,108.54100,60.00,0,0
UKOil,M1,2026.05.01 22:05:00,108.52000,108.52100,108.41900,108.45100,17,108.48100,108.54100,60.00,0,0
UKOil,M1,2026.05.01 22:06:00,108.45600,108.52400,108.42400,108.44500,38,108.48100,108.54100,60.00,0,0
UKOil,M1,2026.05.01 22:07:00,108.43400,108.44500,108.35400,108.37600,33,108.48100,108.54100,60.00,0,0
UKOil,M1,2026.05.01 22:08:00,108.38400,108.43600,108.35400,108.42400,74,108.48100,108.54100,60.00,0,0
UKOil,M1,2026.05.01 22:09:00,108.41500,108.41600,108.30600,108.35100,21,108.48100,108.54100,60.00,0,0
UKOil,M1,2026.05.01 22:10:00,108.35500,108.42900,108.35500,108.40600,40,108.48100,108.54100,60.00,0,0
UKOil,M1,2026.05.01 22:11:00,108.42000,108.42000,108.32400,108.33100,36,108.48100,108.54100,60.00,0,0
UKOil,M1,2026.05.01 22:12:00,108.34100,108.34900,108.30900,108.33600,32,108.48100,108.54100,60.00,0,0
UKOil,M1,2026.05.01 22:13:00,108.32900,108.34100,108.25500,108.26900,39,108.48100,108.54100,60.00,0,0
