symbol,timeframe,time,open,high,low,close,volume,bid,ask,spread,nmp_low,nmp_high
USDCAD,H1,2026.04.27 19:00:00,1.36153,1.36187,1.36140,1.36167,3427,1.35889,1.35907,18.00,0,0
USDCAD,H1,2026.04.27 20:00:00,1.36168,1.36229,1.36161,1.36200,3288,1.35889,1.35907,18.00,0,0
USDCAD,H1,2026.04.27 21:00:00,1.36201,1.36270,1.36142,1.36264,2726,1.35889,1.35907,18.00,0,0
USDCAD,H1,2026.04.27 22:00:00,1.36263,1.36342,1.36241,1.36333,2819,1.35889,1.35907,18.00,0,0
USDCAD,H1,2026.04.27 23:00:00,1.36331,1.36354,1.36227,1.36252,1726,1.35889,1.35907,18.00,0,0
USDCAD,H1,2026.04.28 00:00:00,1.36252,1.36252,1.36178,1.36199,499,1.35889,1.35907,18.00,0,0
USDCAD,H1,2026.04.28 01:00:00,1.36202,1.36270,1.36202,1.36224,808,1.35889,1.35907,18.00,0,0
USDCAD,H1,2026.04.28 02:00:00,1.36226,1.36239,1.36210,1.36211,1347,1.35889,1.35907,18.00,0,0
USDCAD,H1,2026.04.28 03:00:00,1.36211,1.36242,1.36121,1.36242,3440,1.35889,1.35907,18.00,0,0
USDCAD,H1,2026.04.28 04:00:00,1.36244,1.36355,1.36238,1.36349,3467,1.35889,1.35907,18.00,0,0
USDCAD,H1,2026.04.28 05:00:00,1.36348,1.36398,1.36342,1.36378,3198,1.35889,1.35907,18.00,0,0
USDCAD,H1,2026.04.28 06:00:00,1.36377,1.36384,1.36309,1.36311,3420,1.35889,1.35907,18.00,0,0
USDCAD,H1,2026.04.28 07:00:00,1.36312,1.36344,1.36303,1.36325,2726,1.35889,1.35907,18.00,0,0
USDCAD,H1,2026.04.28 08:00:00,1.36325,1.36378,1.36319,1.36368,3823,1.35889,1.35907,18.00,0,0
USDCAD,H1,2026.04.28 09:00:00,1.36369,1.36468,1.36324,1.36463,4685,1.35889,1.35907,18.00,0,0
USDCAD,H1,2026.04.28 10:00:00,1.36465,1.36465,1.36294,1.36379,4811,1.35889,1.35907,18.00,0,0
USDCAD,H1,2026.04.28 11:00:00,1.36379,1.36477,1.36367,1.36462,4564,1.35889,1.35907,18.00,0,0
USDCAD,H1,2026.04.28 12:00:00,1.36461,1.36569,1.36443,1.36536,4462,1.35889,1.35907,18.00,0,0
USDCAD,H1,2026.04.28 13:00:00,1.36536,1.36658,1.36508,1.36643,4157,1.35889,1.35907,18.00,0,0
USDCAD,H1,2026.04.28 14:00:00,1.36643,1.36736,1.36593,1.36724,5008,1.35889,1.35907,18.00,0,0
USDCAD,H1,2026.04.28 15:00:00,1.36723,1.36789,1.36673,1.36740,6484,1.35889,1.35907,18.00,0,0
USDCAD,H1,2026.04.28 16:00:00,1.36740,1.36784,1.36629,1.36648,6074,1.35889,1.35907,18.00,0,0
USDCAD,H1,2026.04.28 17:00:00,1.36650,1.36909,1.36636,1.36891,7735,1.35889,1.35907,18.00,0,0
USDCAD,H1,2026.04.28 18:00:00,1.36891,1.36894,1.36709,1.36712,5268,1.35889,1.35907,18.00,0,0
USDCAD,H1,2026.04.28 19:00:00,1.36710,1.36839,1.36703,1.36805,4412,1.35889,1.35907,18.00,0,0
USDCAD,H1,2026.04.28 20:00:00,1.36805,1.36832,1.36734,1.36765,4209,1.35889,1.35907,18.00,0,0
USDCAD,H1,2026.04.28 21:00:00,1.36765,1.36853,1.36743,1.36838,3314,1.35889,1.35907,18.00,0,0
USDCAD,H1,2026.04.28 22:00:00,1.36836,1.36862,1.36800,1.36844,2982,1.35889,1.35907,18.00,0,0
USDCAD,H1,2026.04.28 23:00:00,1.36843,1.36871,1.36787,1.36825,2179,1.35889,1.35907,18.00,0,0
USDCAD,H1,2026.04.29 00:00:00,1.36825,1.36825,1.36659,1.36723,515,1.35889,1.35907,18.00,0,0
USDCAD,H1,2026.04.29 01:00:00,1.36734,1.36820,1.36734,1.36804,619,1.35889,1.35907,18.00,0,0
USDCAD,H1,2026.04.29 02:00:00,1.36804,1.36820,1.36793,1.36795,1214,1.35889,1.35907,18.00,0,0
USDCAD,H1,2026.04.29 03:00:00,1.36795,1.36803,1.36756,1.36801,2611,1.35889,1.35907,18.00,0,0
USDCAD,H1,2026.04.29 04:00:00,1.36802,1.36885,1.36790,1.36822,4744,1.35889,1.35907,18.00,0,0
USDCAD,H1,2026.04.29 05:00:00,1.36821,1.36857,1.36779,1.36839,3123,1.35889,1.35907,18.00,0,0
USDCAD,H1,2026.04.29 06:00:00,1.36838,1.36878,1.36811,1.36856,2426,1.35889,1.35907,18.00,0,0
USDCAD,H1,2026.04.29 07:00:00,1.36855,1.36867,1.36835,1.36850,2230,1.35889,1.35907,18.00,0,0
USDCAD,H1,2026.04.29 08:00:00,1.36850,1.36903,1.36848,1.36886,2539,1.35889,1.35907,18.00,0,0
USDCAD,H1,2026.04.29 09:00:00,1.36885,1.36915,1.36856,1.36884,3539,1.35889,1.35907,18.00,0,0
USDCAD,H1,2026.04.29 10:00:00,1.36885,1.36888,1.36771,1.36792,4465,1.35889,1.35907,18.00,0,0
USDCAD,H1,2026.04.29 11:00:00,1.36794,1.36840,1.36753,1.36839,4404,1.35889,1.35907,18.00,0,0
USDCAD,H1,2026.04.29 12:00:00,1.36839,1.36911,1.36810,1.36910,3363,1.35889,1.35907,18.00,0,0
USDCAD,H1,2026.04.29 13:00:00,1.36912,1.36924,1.36828,1.36829,3241,1.35889,1.35907,18.00,0,0
USDCAD,H1,2026.04.29 14:00:00,1.36828,1.36850,1.36764,1.36790,3445,1.35889,1.35907,18.00,0,0
USDCAD,H1,2026.04.29 15:00:00,1.36790,1.36792,1.36723,1.36762,3985,1.35889,1.35907,18.00,0,0
USDCAD,H1,2026.04.29 16:00:00,1.36761,1.37098,1.36708,1.36976,6929,1.35889,1.35907,18.00,0,0
USDCAD,H1,2026.04.29 17:00:00,1.36977,1.37041,1.36725,1.36767,7140,1.35889,1.35907,18.00,0,0
USDCAD,H1,2026.04.29 18:00:00,1.36767,1.36833,1.36689,1.36723,6471,1.35889,1.35907,18.00,0,0
USDCAD,H1,2026.04.29 19:00:00,1.36723,1.36762,1.36666,1.36749,5194,1.35889,1.35907,18.00,0,0
USDCAD,H1,2026.04.29 20:00:00,1.36748,1.36822,1.36733,1.36734,4829,1.35889,1.35907,18.00,0,0
USDCAD,H1,2026.04.29 21:00:00,1.36735,1.36911,1.36725,1.36855,7717,1.35889,1.35907,18.00,0,0
USDCAD,H1,2026.04.29 22:00:00,1.36855,1.36887,1.36791,1.36820,5832,1.35889,1.35907,18.00,0,0
USDCAD,H1,2026.04.29 23:00:00,1.36819,1.36862,1.36770,1.36828,4214,1.35889,1.35907,18.00,0,0
