symbol,timeframe,time,open,high,low,close,volume,bid,ask,spread,nmp_low,nmp_high
USDCAD,M5,2026.05.01 14:35:00,1.35656,1.35665,1.35649,1.35664,206,1.35889,1.35907,18.00,0,0
USDCAD,M5,2026.05.01 14:40:00,1.35665,1.35675,1.35641,1.35664,255,1.35889,1.35907,18.00,0,0
USDCAD,M5,2026.05.01 14:45:00,1.35664,1.35690,1.35656,1.35685,255,1.35889,1.35907,18.00,0,0
USDCAD,M5,2026.05.01 14:50:00,1.35683,1.35692,1.35678,1.35683,226,1.35889,1.35907,18.00,0,0
USDCAD,M5,2026.05.01 14:55:00,1.35683,1.35684,1.35653,1.35672,292,1.35889,1.35907,18.00,0,0
USDCAD,M5,2026.05.01 15:00:00,1.35672,1.35690,1.35655,1.35655,393,1.35889,1.35907,18.00,0,0
USDCAD,M5,2026.05.01 15:05:00,1.35654,1.35675,1.35640,1.35667,351,1.35889,1.35907,18.00,0,0
USDCAD,M5,2026.05.01 15:10:00,1.35667,1.35674,1.35590,1.35613,598,1.35889,1.35907,18.00,0,0
USDCAD,M5,2026.05.01 15:15:00,1.35614,1.35616,1.35570,1.35572,544,1.35889,1.35907,18.00,0,0
USDCAD,M5,2026.05.01 15:20:00,1.35572,1.35573,1.35509,1.35513,670,1.35889,1.35907,18.00,0,0
USDCAD,M5,2026.05.01 15:25:00,1.35513,1.35554,1.35493,1.35539,604,1.35889,1.35907,18.00,0,0
USDCAD,M5,2026.05.01 15:30:00,1.35538,1.35583,1.35527,1.35565,547,1.35889,1.35907,18.00,0,0
USDCAD,M5,2026.05.01 15:35:00,1.35566,1.35573,1.35548,1.35564,422,1.35889,1.35907,18.00,0,0
USDCAD,M5,2026.05.01 15:40:00,1.35563,1.35596,1.35563,1.35591,414,1.35889,1.35907,18.00,0,0
USDCAD,M5,2026.05.01 15:45:00,1.35592,1.35612,1.35564,1.35611,416,1.35889,1.35907,18.00,0,0
USDCAD,M5,2026.05.01 15:50:00,1.35609,1.35637,1.35598,1.35629,376,1.35889,1.35907,18.00,0,0
USDCAD,M5,2026.05.01 15:55:00,1.35629,1.35633,1.35611,1.35633,438,1.35889,1.35907,18.00,0,0
USDCAD,M5,2026.05.01 16:00:00,1.35635,1.35635,1.35609,1.35622,313,1.35889,1.35907,18.00,0,0
USDCAD,M5,2026.05.01 16:05:00,1.35622,1.35622,1.35570,1.35574,349,1.35889,1.35907,18.00,0,0
USDCAD,M5,2026.05.01 16:10:00,1.35574,1.35593,1.35567,1.35570,329,1.35889,1.35907,18.00,0,0
USDCAD,M5,2026.05.01 16:15:00,1.35571,1.35581,1.35536,1.35545,417,1.35889,1.35907,18.00,0,0
USDCAD,M5,2026.05.01 16:20:00,1.35545,1.35583,1.35535,1.35566,326,1.35889,1.35907,18.00,0,0
USDCAD,M5,2026.05.01 16:25:00,1.35568,1.35575,1.35542,1.35542,429,1.35889,1.35907,18.00,0,0
USDCAD,M5,2026.05.01 16:30:00,1.35542,1.35565,1.35533,1.35562,560,1.35889,1.35907,18.00,0,0
USDCAD,M5,2026.05.01 16:35:00,1.35564,1.35594,1.35544,1.35586,354,1.35889,1.35907,18.00,0,0
USDCAD,M5,2026.05.01 16:40:00,1.35586,1.35592,1.35568,1.35581,374,1.35889,1.35907,18.00,0,0
USDCAD,M5,2026.05.01 16:45:00,1.35589,1.35703,1.35586,1.35703,436,1.35889,1.35907,18.00,0,0
USDCAD,M5,2026.05.01 16:50:00,1.35703,1.35713,1.35644,1.35656,945,1.35889,1.35907,18.00,0,0
USDCAD,M5,2026.05.01 16:55:00,1.35654,1.35655,1.35597,1.35618,726,1.35889,1.35907,18.00,0,0
USDCAD,M5,2026.05.01 17:00:00,1.35621,1.35645,1.35588,1.35638,811,1.35889,1.35907,18.00,0,0
USDCAD,M5,2026.05.01 17:05:00,1.35639,1.35678,1.35617,1.35678,767,1.35889,1.35907,18.00,0,0
