symbol,timeframe,time,open,high,low,close,volume,bid,ask,spread,nmp_low,nmp_high
USDCHF,M5,2026.04.28 11:00:00,0.79,0.79,0.79,0.79,619,0.78,0.78,28.00,0,0
USDCHF,M5,2026.04.28 11:05:00,0.79,0.79,0.79,0.79,532,0.78,0.78,28.00,0,0
USDCHF,M5,2026.04.28 11:10:00,0.79,0.79,0.79,0.79,519,0.78,0.78,28.00,0,0
USDCHF,M5,2026.04.28 11:15:00,0.79,0.79,0.79,0.79,522,0.78,0.78,28.00,0,0
USDCHF,M5,2026.04.28 11:20:00,0.79,0.79,0.79,0.79,462,0.78,0.78,28.00,0,0
USDCHF,M5,2026.04.28 11:25:00,0.79,0.79,0.79,0.79,473,0.78,0.78,28.00,0,0
USDCHF,M5,2026.04.28 11:30:00,0.79,0.79,0.79,0.79,482,0.78,0.78,28.00,0,0
USDCHF,M5,2026.04.28 11:35:00,0.79,0.79,0.79,0.79,365,0.78,0.78,28.00,0,0
USDCHF,M5,2026.04.28 11:40:00,0.79,0.79,0.79,0.79,438,0.78,0.78,28.00,0,0
USDCHF,M5,2026.04.28 11:45:00,0.79,0.79,0.79,0.79,356,0.78,0.78,28.00,0,0
USDCHF,M5,2026.04.28 11:50:00,0.79,0.79,0.79,0.79,280,0.78,0.78,28.00,0,0
USDCHF,M5,2026.04.28 11:55:00,0.79,0.79,0.79,0.79,336,0.78,0.78,28.00,0,0
USDCHF,M5,2026.04.28 12:00:00,0.79,0.79,0.79,0.79,445,0.78,0.78,28.00,0,0
USDCHF,M5,2026.04.28 12:05:00,0.79,0.79,0.79,0.79,368,0.78,0.78,28.00,0,0
USDCHF,M5,2026.04.28 12:10:00,0.79,0.79,0.79,0.79,321,0.78,0.78,28.00,0,0
USDCHF,M5,2026.04.28 12:15:00,0.79,0.79,0.79,0.79,357,0.78,0.78,28.00,0,0
USDCHF,M5,2026.04.28 12:20:00,0.79,0.79,0.79,0.79,306,0.78,0.78,28.00,0,0
USDCHF,M5,2026.04.28 12:25:00,0.79,0.79,0.79,0.79,306,0.78,0.78,28.00,0,0
USDCHF,M5,2026.04.28 12:30:00,0.79,0.79,0.79,0.79,386,0.78,0.78,28.00,0,0
USDCHF,M5,2026.04.28 12:35:00,0.79,0.79,0.79,0.79,365,0.78,0.78,28.00,0,0
USDCHF,M5,2026.04.28 12:40:00,0.79,0.79,0.79,0.79,343,0.78,0.78,28.00,0,0
USDCHF,M5,2026.04.28 12:45:00,0.79,0.79,0.79,0.79,397,0.78,0.78,28.00,0,0
USDCHF,M5,2026.04.28 12:50:00,0.79,0.79,0.79,0.79,363,0.78,0.78,28.00,0,0
USDCHF,M5,2026.04.28 12:55:00,0.79,0.79,0.79,0.79,390,0.78,0.78,28.00,0,0
USDCHF,M5,2026.04.28 13:00:00,0.79,0.79,0.79,0.79,325,0.78,0.78,28.00,0,0
USDCHF,M5,2026.04.28 13:05:00,0.79,0.79,0.79,0.79,310,0.78,0.78,28.00,0,0
USDCHF,M5,2026.04.28 13:10:00,0.79,0.79,0.79,0.79,290,0.78,0.78,28.00,0,0
USDCHF,M5,2026.04.28 13:15:00,0.79,0.79,0.79,0.79,228,0.78,0.78,28.00,0,0
USDCHF,M5,2026.04.28 13:20:00,0.79,0.79,0.79,0.79,230,0.78,0.78,28.00,0,0
USDCHF,M5,2026.04.28 13:25:00,0.79,0.79,0.79,0.79,264,0.78,0.78,28.00,0,0
USDCHF,M5,2026.04.28 13:30:00,0.79,0.79,0.79,0.79,343,0.78,0.78,28.00,0,0
USDCHF,M5,2026.04.28 13:35:00,0.79,0.79,0.79,0.79,274,0.78,0.78,28.00,0,0
USDCHF,M5,2026.04.28 13:40:00,0.79,0.79,0.79,0.79,296,0.78,0.78,28.00,0,0
USDCHF,M5,2026.04.28 13:45:00,0.79,0.79,0.79,0.79,352,0.78,0.78,28.00,0,0
USDCHF,M5,2026.04.28 13:50:00,0.79,0.79,0.79,0.79,335,0.78,0.78,28.00,0,0
USDCHF,M5,2026.04.28 13:55:00,0.79,0.79,0.79,0.79,323,0.78,0.78,28.00,0,0
USDCHF,M5,2026.04.28 14:00:00,0.79,0.79,0.79,0.79,380,0.78,0.78,28.00,0,0
USDCHF,M5,2026.04.28 14:05:00,0.79,0.79,0.79,0.79,405,0.78,0.78,28.00,0,0
USDCHF,M5,2026.04.28 14:10:00,0.79,0.79,0.79,0.79,407,0.78,0.78,28.00,0,0
USDCHF,M5,2026.04.28 14:15:00,0.79,0.79,0.79,0.79,363,0.78,0.78,28.00,0,0
USDCHF,M5,2026.04.28 14:20:00,0.79,0.79,0.79,0.79,345,0.78,0.78,28.00,0,0
USDCHF,M5,2026.04.28 14:25:00,0.79,0.79,0.79,0.79,304,0.78,0.78,28.00,0,0
USDCHF,M5,2026.04.28 14:30:00,0.79,0.79,0.79,0.79,414,0.78,0.78,28.00,0,0
USDCHF,M5,2026.04.28 14:35:00,0.79,0.79,0.79,0.79,375,0.78,0.78,28.00,0,0
