symbol,timeframe,time,open,high,low,close,volume,bid,ask,spread,nmp_low,nmp_high
USDCNH,M1,2026.05.01 21:54:00,6.83045,6.83048,6.83027,6.83035,66,6.83126,6.83188,62.00,0,0
USDCNH,M1,2026.05.01 21:55:00,6.83035,6.83035,6.83004,6.83005,78,6.83126,6.83188,62.00,0,0
USDCNH,M1,2026.05.01 21:56:00,6.83005,6.83018,6.83003,6.83015,62,6.83126,6.83188,62.00,0,0
USDCNH,M1,2026.05.01 21:57:00,6.83017,6.83017,6.82988,6.82995,76,6.83126,6.83188,62.00,0,0
USDCNH,M1,2026.05.01 21:58:00,6.82995,6.83020,6.82995,6.83020,96,6.83126,6.83188,62.00,0,0
USDCNH,M1,2026.05.01 21:59:00,6.83023,6.83028,6.83006,6.83020,82,6.83126,6.83188,62.00,0,0
USDCNH,M1,2026.05.01 22:00:00,6.83020,6.83025,6.83013,6.83019,82,6.83126,6.83188,62.00,0,0
USDCNH,M1,2026.05.01 22:01:00,6.83019,6.83023,6.83010,6.83023,71,6.83126,6.83188,62.00,0,0
USDCNH,M1,2026.05.01 22:02:00,6.83023,6.83035,6.83017,6.83032,31,6.83126,6.83188,62.00,0,0
USDCNH,M1,2026.05.01 22:03:00,6.83032,6.83049,6.83032,6.83047,43,6.83126,6.83188,62.00,0,0
USDCNH,M1,2026.05.01 22:04:00,6.83044,6.83058,6.83044,6.83054,37,6.83126,6.83188,62.00,0,0
USDCNH,M1,2026.05.01 22:05:00,6.83052,6.83053,6.83038,6.83050,46,6.83126,6.83188,62.00,0,0
USDCNH,M1,2026.05.01 22:06:00,6.83051,6.83055,6.83039,6.83045,57,6.83126,6.83188,62.00,0,0
USDCNH,M1,2026.05.01 22:07:00,6.83042,6.83049,6.83040,6.83043,38,6.83126,6.83188,62.00,0,0
USDCNH,M1,2026.05.01 22:08:00,6.83041,6.83048,6.83038,6.83043,45,6.83126,6.83188,62.00,0,0
USDCNH,M1,2026.05.01 22:09:00,6.83041,6.83048,6.83041,6.83042,26,6.83126,6.83188,62.00,0,0
USDCNH,M1,2026.05.01 22:10:00,6.83042,6.83058,6.83042,6.83044,50,6.83126,6.83188,62.00,0,0
USDCNH,M1,2026.05.01 22:11:00,6.83044,6.83057,6.83038,6.83050,69,6.83126,6.83188,62.00,0,0
USDCNH,M1,2026.05.01 22:12:00,6.83050,6.83061,6.83048,6.83060,42,6.83126,6.83188,62.00,0,0
USDCNH,M1,2026.05.01 22:13:00,6.83060,6.83068,6.83058,6.83059,25,6.83126,6.83188,62.00,0,0
USDCNH,M1,2026.05.01 22:14:00,6.83059,6.83063,6.83051,6.83062,62,6.83126,6.83188,62.00,0,0
USDCNH,M1,2026.05.01 22:15:00,6.83065,6.83066,6.83026,6.83030,59,6.83126,6.83188,62.00,0,0
USDCNH,M1,2026.05.01 22:16:00,6.83033,6.83044,6.83026,6.83043,71,6.83126,6.83188,62.00,0,0
USDCNH,M1,2026.05.01 22:17:00,6.83045,6.83055,6.83043,6.83044,30,6.83126,6.83188,62.00,0,0
USDCNH,M1,2026.05.01 22:18:00,6.83046,6.83049,6.83042,6.83043,40,6.83126,6.83188,62.00,0,0
USDCNH,M1,2026.05.01 22:19:00,6.83045,6.83045,6.83017,6.83024,42,6.83126,6.83188,62.00,0,0
USDCNH,M1,2026.05.01 22:20:00,6.83024,6.83027,6.83017,6.83025,50,6.83126,6.83188,62.00,0,0
USDCNH,M1,2026.05.01 22:21:00,6.83022,6.83025,6.82988,6.83002,63,6.83126,6.83188,62.00,0,0
USDCNH,M1,2026.05.01 22:22:00,6.83001,6.83010,6.83001,6.83009,23,6.83126,6.83188,62.00,0,0
USDCNH,M1,2026.05.01 22:23:00,6.83009,6.83030,6.83009,6.83030,46,6.83126,6.83188,62.00,0,0
USDCNH,M1,2026.05.01 22:24:00,6.83032,6.83036,6.83028,6.83029,55,6.83126,6.83188,62.00,0,0
USDCNH,M1,2026.05.01 22:25:00,6.83030,6.83030,6.83023,6.83024,47,6.83126,6.83188,62.00,0,0
USDCNH,M1,2026.05.01 22:26:00,6.83024,6.83038,6.83021,6.83023,54,6.83126,6.83188,62.00,0,0
USDCNH,M1,2026.05.01 22:27:00,6.83023,6.83025,6.83015,6.83024,55,6.83126,6.83188,62.00,0,0
USDCNH,M1,2026.05.01 22:28:00,6.83024,6.83043,6.83024,6.83041,60,6.83126,6.83188,62.00,0,0
USDCNH,M1,2026.05.01 22:29:00,6.83043,6.83047,6.83036,6.83045,59,6.83126,6.83188,62.00,0,0
USDCNH,M1,2026.05.01 22:30:00,6.83045,6.83075,6.83044,6.83074,72,6.83126,6.83188,62.00,0,0
USDCNH,M1,2026.05.01 22:31:00,6.83074,6.83084,6.83073,6.83081,75,6.83126,6.83188,62.00,0,0
USDCNH,M1,2026.05.01 22:32:00,6.83080,6.83096,6.83079,6.83086,85,6.83126,6.83188,62.00,0,0
USDCNH,M1,2026.05.01 22:33:00,6.83086,6.83086,6.83074,6.83083,67,6.83126,6.83188,62.00,0,0
USDCNH,M1,2026.05.01 22:34:00,6.83083,6.83084,6.83074,6.83074,71,6.83126,6.83188,62.00,0,0
USDCNH,M1,2026.05.01 22:35:00,6.83074,6.83083,6.83060,6.83081,68,6.83126,6.83188,62.00,0,0
USDCNH,M1,2026.05.01 22:36:00,6.83082,6.83095,6.83082,6.83085,69,6.83126,6.83188,62.00,0,0
USDCNH,M1,2026.05.01 22:37:00,6.83086,6.83106,6.83086,6.83095,67,6.83126,6.83188,62.00,0,0
USDCNH,M1,2026.05.01 22:38:00,6.83095,6.83101,6.83083,6.83084,43,6.83126,6.83188,62.00,0,0
USDCNH,M1,2026.05.01 22:39:00,6.83084,6.83084,6.83073,6.83078,72,6.83126,6.83188,62.00,0,0
USDCNH,M1,2026.05.01 22:40:00,6.83080,6.83081,6.83065,6.83066,75,6.83126,6.83188,62.00,0,0
USDCNH,M1,2026.05.01 22:41:00,6.83066,6.83081,6.83064,6.83072,63,6.83126,6.83188,62.00,0,0
USDCNH,M1,2026.05.01 22:42:00,6.83072,6.83094,6.83066,6.83094,54,6.83126,6.83188,62.00,0,0
USDCNH,M1,2026.05.01 22:43:00,6.83091,6.83092,6.83084,6.83091,43,6.83126,6.83188,62.00,0,0
USDCNH,M1,2026.05.01 22:44:00,6.83096,6.83101,6.83089,6.83094,45,6.83126,6.83188,62.00,0,0
USDCNH,M1,2026.05.01 22:45:00,6.83094,6.83095,6.83083,6.83083,49,6.83126,6.83188,62.00,0,0
USDCNH,M1,2026.05.01 22:46:00,6.83084,6.83109,6.83083,6.83101,53,6.83126,6.83188,62.00,0,0
USDCNH,M1,2026.05.01 22:47:00,6.83102,6.83107,6.83100,6.83104,52,6.83126,6.83188,62.00,0,0
USDCNH,M1,2026.05.01 22:48:00,6.83103,6.83104,6.83085,6.83092,65,6.83126,6.83188,62.00,0,0
USDCNH,M1,2026.05.01 22:49:00,6.83094,6.83105,6.83092,6.83102,23,6.83126,6.83188,62.00,0,0
USDCNH,M1,2026.05.01 22:50:00,6.83100,6.83126,6.83095,6.83126,41,6.83126,6.83188,62.00,0,0
