symbol,timeframe,time,open,high,low,close,volume,bid,ask,spread,nmp_low,nmp_high
USDHKD,M1,2026.05.01 21:53:00,7.83466,7.83469,7.83466,7.83469,4,7.83413,7.83506,93.00,0,0
USDHKD,M1,2026.05.01 21:54:00,7.83466,7.83466,7.83466,7.83466,1,7.83413,7.83506,93.00,0,0
USDHKD,M1,2026.05.01 21:55:00,7.83468,7.83470,7.83466,7.83470,5,7.83413,7.83506,93.00,0,0
USDHKD,M1,2026.05.01 21:56:00,7.83468,7.83477,7.83467,7.83477,15,7.83413,7.83506,93.00,0,0
USDHKD,M1,2026.05.01 21:57:00,7.83475,7.83493,7.83468,7.83492,14,7.83413,7.83506,93.00,0,0
USDHKD,M1,2026.05.01 21:58:00,7.83495,7.83500,7.83492,7.83499,14,7.83413,7.83506,93.00,0,0
USDHKD,M1,2026.05.01 21:59:00,7.83499,7.83513,7.83496,7.83513,12,7.83413,7.83506,93.00,0,0
USDHKD,M1,2026.05.01 22:00:00,7.83513,7.83517,7.83513,7.83516,7,7.83413,7.83506,93.00,0,0
USDHKD,M1,2026.05.01 22:01:00,7.83516,7.83518,7.83511,7.83511,20,7.83413,7.83506,93.00,0,0
USDHKD,M1,2026.05.01 22:02:00,7.83513,7.83517,7.83500,7.83503,12,7.83413,7.83506,93.00,0,0
USDHKD,M1,2026.05.01 22:03:00,7.83501,7.83501,7.83480,7.83485,10,7.83413,7.83506,93.00,0,0
USDHKD,M1,2026.05.01 22:04:00,7.83482,7.83484,7.83479,7.83480,7,7.83413,7.83506,93.00,0,0
USDHKD,M1,2026.05.01 22:05:00,7.83481,7.83481,7.83478,7.83478,2,7.83413,7.83506,93.00,0,0
USDHKD,M1,2026.05.01 22:08:00,7.83474,7.83474,7.83474,7.83474,1,7.83413,7.83506,93.00,0,0
USDHKD,M1,2026.05.01 22:09:00,7.83473,7.83479,7.83468,7.83479,9,7.83413,7.83506,93.00,0,0
USDHKD,M1,2026.05.01 22:12:00,7.83477,7.83479,7.83477,7.83479,2,7.83413,7.83506,93.00,0,0
USDHKD,M1,2026.05.01 22:13:00,7.83476,7.83476,7.83476,7.83476,2,7.83413,7.83506,93.00,0,0
