symbol,timeframe,time,open,high,low,close,volume,bid,ask,spread,nmp_low,nmp_high
USDILS,M5,2026.05.01 21:50:00,2.94588,2.94662,2.94560,2.94601,68,2.93788,2.94914,1126.00,0,0
USDILS,M5,2026.05.01 21:55:00,2.94600,2.94600,2.94468,2.94505,121,2.93788,2.94914,1126.00,0,0
USDILS,M5,2026.05.01 22:00:00,2.94512,2.94619,2.94416,2.94606,134,2.93788,2.94914,1126.00,0,0
USDILS,M5,2026.05.01 22:05:00,2.94605,2.94605,2.94489,2.94564,77,2.93788,2.94914,1126.00,0,0
USDILS,M5,2026.05.01 22:10:00,2.94580,2.94610,2.94240,2.94438,61,2.93788,2.94914,1126.00,0,0
USDILS,M5,2026.05.01 22:15:00,2.94432,2.94437,2.94211,2.94269,174,2.93788,2.94914,1126.00,0,0
USDILS,M5,2026.05.01 22:20:00,2.94252,2.94411,2.94213,2.94393,117,2.93788,2.94914,1126.00,0,0
USDILS,M5,2026.05.01 22:25:00,2.94309,2.94506,2.94309,2.94503,16,2.93788,2.94914,1126.00,0,0
USDILS,M5,2026.05.01 22:30:00,2.94497,2.94618,2.94491,2.94617,59,2.93788,2.94914,1126.00,0,0
USDILS,M5,2026.05.01 22:35:00,2.94599,2.94652,2.94525,2.94637,52,2.93788,2.94914,1126.00,0,0
USDILS,M5,2026.05.01 22:40:00,2.94555,2.94642,2.94351,2.94410,123,2.93788,2.94914,1126.00,0,0
USDILS,M5,2026.05.01 22:45:00,2.94467,2.94505,2.94396,2.94457,52,2.93788,2.94914,1126.00,0,0
USDILS,M5,2026.05.01 22:50:00,2.94506,2.94506,2.93718,2.93835,182,2.93788,2.94914,1126.00,0,0
