symbol,timeframe,time,open,high,low,close,volume,bid,ask,spread,nmp_low,nmp_high
USDJPY,M1,2026.05.01 21:11:00,157.07700,157.08300,157.06200,157.06200,72,157.08100,157.09500,14.00,0,0
USDJPY,M1,2026.05.01 21:12:00,157.06100,157.07500,157.05900,157.06500,85,157.08100,157.09500,14.00,0,0
USDJPY,M1,2026.05.01 21:13:00,157.06500,157.06600,157.05900,157.06100,60,157.08100,157.09500,14.00,0,0
USDJPY,M1,2026.05.01 21:14:00,157.06200,157.07000,157.04800,157.06600,96,157.08100,157.09500,14.00,0,0
USDJPY,M1,2026.05.01 21:15:00,157.06600,157.06900,157.05000,157.06700,89,157.08100,157.09500,14.00,0,0
USDJPY,M1,2026.05.01 21:16:00,157.06700,157.08600,157.06300,157.08600,55,157.08100,157.09500,14.00,0,0
USDJPY,M1,2026.05.01 21:17:00,157.08600,157.09200,157.07400,157.07400,81,157.08100,157.09500,14.00,0,0
USDJPY,M1,2026.05.01 21:18:00,157.07400,157.08000,157.07300,157.07600,61,157.08100,157.09500,14.00,0,0
USDJPY,M1,2026.05.01 21:19:00,157.07500,157.08600,157.07500,157.07900,63,157.08100,157.09500,14.00,0,0
USDJPY,M1,2026.05.01 21:20:00,157.08000,157.08000,157.06600,157.07200,64,157.08100,157.09500,14.00,0,0
USDJPY,M1,2026.05.01 21:21:00,157.07300,157.07300,157.04700,157.04900,72,157.08100,157.09500,14.00,0,0
USDJPY,M1,2026.05.01 21:22:00,157.05000,157.05900,157.03300,157.03800,72,157.08100,157.09500,14.00,0,0
USDJPY,M1,2026.05.01 21:23:00,157.03700,157.05800,157.03500,157.05800,75,157.08100,157.09500,14.00,0,0
USDJPY,M1,2026.05.01 21:24:00,157.05800,157.05900,157.05200,157.05800,80,157.08100,157.09500,14.00,0,0
USDJPY,M1,2026.05.01 21:25:00,157.05900,157.08600,157.05900,157.08400,78,157.08100,157.09500,14.00,0,0
USDJPY,M1,2026.05.01 21:26:00,157.08500,157.09500,157.08500,157.09200,68,157.08100,157.09500,14.00,0,0
USDJPY,M1,2026.05.01 21:27:00,157.09100,157.09500,157.08200,157.08200,52,157.08100,157.09500,14.00,0,0
USDJPY,M1,2026.05.01 21:28:00,157.08100,157.08700,157.07500,157.07700,82,157.08100,157.09500,14.00,0,0
USDJPY,M1,2026.05.01 21:29:00,157.07900,157.11400,157.02000,157.03100,110,157.08100,157.09500,14.00,0,0
USDJPY,M1,2026.05.01 21:30:00,157.03700,157.05800,156.90700,157.03400,269,157.08100,157.09500,14.00,0,0
USDJPY,M1,2026.05.01 21:31:00,157.03300,157.04000,157.00600,157.03700,206,157.08100,157.09500,14.00,0,0
USDJPY,M1,2026.05.01 21:32:00,157.03700,157.06400,157.03700,157.04900,146,157.08100,157.09500,14.00,0,0
USDJPY,M1,2026.05.01 21:33:00,157.04900,157.07300,157.04800,157.06200,118,157.08100,157.09500,14.00,0,0
USDJPY,M1,2026.05.01 21:34:00,157.06300,157.07500,157.05700,157.07500,101,157.08100,157.09500,14.00,0,0
USDJPY,M1,2026.05.01 21:35:00,157.07500,157.08400,157.07000,157.07000,85,157.08100,157.09500,14.00,0,0
USDJPY,M1,2026.05.01 21:36:00,157.07100,157.07100,157.04600,157.05100,101,157.08100,157.09500,14.00,0,0
USDJPY,M1,2026.05.01 21:37:00,157.04900,157.04900,157.03200,157.04200,75,157.08100,157.09500,14.00,0,0
USDJPY,M1,2026.05.01 21:38:00,157.03800,157.03900,157.00800,157.01000,96,157.08100,157.09500,14.00,0,0
USDJPY,M1,2026.05.01 21:39:00,157.01100,157.01100,156.98400,156.99700,128,157.08100,157.09500,14.00,0,0
USDJPY,M1,2026.05.01 21:40:00,156.99600,157.02500,156.99600,157.02100,103,157.08100,157.09500,14.00,0,0
USDJPY,M1,2026.05.01 21:41:00,157.02100,157.02900,157.02000,157.02500,66,157.08100,157.09500,14.00,0,0
USDJPY,M1,2026.05.01 21:42:00,157.02500,157.03900,157.02400,157.03700,57,157.08100,157.09500,14.00,0,0
USDJPY,M1,2026.05.01 21:43:00,157.03700,157.03900,157.03100,157.03600,69,157.08100,157.09500,14.00,0,0
USDJPY,M1,2026.05.01 21:44:00,157.03600,157.03800,157.01400,157.02300,74,157.08100,157.09500,14.00,0,0
USDJPY,M1,2026.05.01 21:45:00,157.02500,157.03200,157.02200,157.02200,62,157.08100,157.09500,14.00,0,0
USDJPY,M1,2026.05.01 21:46:00,157.02200,157.02400,156.99500,156.99600,69,157.08100,157.09500,14.00,0,0
USDJPY,M1,2026.05.01 21:47:00,156.99600,156.99900,156.98200,156.98800,61,157.08100,157.09500,14.00,0,0
USDJPY,M1,2026.05.01 21:48:00,156.98700,157.02000,156.98700,157.01600,69,157.08100,157.09500,14.00,0,0
USDJPY,M1,2026.05.01 21:49:00,157.01600,157.01700,156.99600,156.99600,72,157.08100,157.09500,14.00,0,0
USDJPY,M1,2026.05.01 21:50:00,156.99500,157.00800,156.98900,156.99700,76,157.08100,157.09500,14.00,0,0
USDJPY,M1,2026.05.01 21:51:00,156.99700,157.00200,156.98600,156.98700,70,157.08100,157.09500,14.00,0,0
USDJPY,M1,2026.05.01 21:52:00,156.98800,157.02100,156.98500,157.02000,89,157.08100,157.09500,14.00,0,0
USDJPY,M1,2026.05.01 21:53:00,157.02100,157.04100,157.02000,157.04100,72,157.08100,157.09500,14.00,0,0
USDJPY,M1,2026.05.01 21:54:00,157.04400,157.05100,157.03900,157.05100,81,157.08100,157.09500,14.00,0,0
USDJPY,M1,2026.05.01 21:55:00,157.05100,157.05100,157.01100,157.01100,95,157.08100,157.09500,14.00,0,0
USDJPY,M1,2026.05.01 21:56:00,157.01200,157.02900,157.01000,157.02400,82,157.08100,157.09500,14.00,0,0
USDJPY,M1,2026.05.01 21:57:00,157.02200,157.02400,156.98000,156.98300,116,157.08100,157.09500,14.00,0,0
USDJPY,M1,2026.05.01 21:58:00,156.98600,157.01600,156.98600,157.01600,127,157.08100,157.09500,14.00,0,0
USDJPY,M1,2026.05.01 21:59:00,157.01700,157.01700,156.99000,157.01100,149,157.08100,157.09500,14.00,0,0
USDJPY,M1,2026.05.01 22:00:00,157.01000,157.02000,156.99600,157.00700,115,157.08100,157.09500,14.00,0,0
USDJPY,M1,2026.05.01 22:01:00,157.00800,157.01300,157.00600,157.01100,68,157.08100,157.09500,14.00,0,0
USDJPY,M1,2026.05.01 22:02:00,157.01000,157.02600,157.00000,157.02600,52,157.08100,157.09500,14.00,0,0
USDJPY,M1,2026.05.01 22:03:00,157.02700,157.04600,157.02500,157.04500,73,157.08100,157.09500,14.00,0,0
USDJPY,M1,2026.05.01 22:04:00,157.04400,157.05700,157.04000,157.04600,52,157.08100,157.09500,14.00,0,0
USDJPY,M1,2026.05.01 22:05:00,157.04600,157.04600,157.03100,157.03700,34,157.08100,157.09500,14.00,0,0
USDJPY,M1,2026.05.01 22:06:00,157.03800,157.04700,157.03200,157.03200,63,157.08100,157.09500,14.00,0,0
USDJPY,M1,2026.05.01 22:07:00,157.03100,157.03500,157.02100,157.02200,36,157.08100,157.09500,14.00,0,0
USDJPY,M1,2026.05.01 22:08:00,157.02400,157.02500,157.01800,157.02000,31,157.08100,157.09500,14.00,0,0
USDJPY,M1,2026.05.01 22:09:00,157.02100,157.02200,157.01900,157.02100,30,157.08100,157.09500,14.00,0,0
USDJPY,M1,2026.05.01 22:10:00,157.02200,157.04200,157.02000,157.03300,51,157.08100,157.09500,14.00,0,0
USDJPY,M1,2026.05.01 22:11:00,157.03300,157.04500,157.02200,157.03500,64,157.08100,157.09500,14.00,0,0
USDJPY,M1,2026.05.01 22:12:00,157.03400,157.04700,157.03300,157.04300,35,157.08100,157.09500,14.00,0,0
USDJPY,M1,2026.05.01 22:13:00,157.04000,157.04500,157.03500,157.03700,50,157.08100,157.09500,14.00,0,0
USDJPY,M1,2026.05.01 22:14:00,157.03700,157.04000,157.03400,157.03700,45,157.08100,157.09500,14.00,0,0
USDJPY,M1,2026.05.01 22:15:00,157.03700,157.03800,157.02100,157.02400,47,157.08100,157.09500,14.00,0,0
USDJPY,M1,2026.05.01 22:16:00,157.02600,157.02800,157.01100,157.02200,41,157.08100,157.09500,14.00,0,0
USDJPY,M1,2026.05.01 22:17:00,157.02400,157.03200,157.02200,157.02500,54,157.08100,157.09500,14.00,0,0
USDJPY,M1,2026.05.01 22:18:00,157.02500,157.02600,157.01400,157.01400,37,157.08100,157.09500,14.00,0,0
USDJPY,M1,2026.05.01 22:19:00,157.01500,157.03200,157.01300,157.02600,60,157.08100,157.09500,14.00,0,0
USDJPY,M1,2026.05.01 22:20:00,157.02600,157.02600,157.01800,157.02100,42,157.08100,157.09500,14.00,0,0
USDJPY,M1,2026.05.01 22:21:00,157.01900,157.01900,157.00700,157.00800,39,157.08100,157.09500,14.00,0,0
USDJPY,M1,2026.05.01 22:22:00,157.00800,157.01100,157.00700,157.01000,49,157.08100,157.09500,14.00,0,0
USDJPY,M1,2026.05.01 22:23:00,157.01100,157.02200,157.00800,157.02100,42,157.08100,157.09500,14.00,0,0
USDJPY,M1,2026.05.01 22:24:00,157.02100,157.02500,157.02100,157.02300,32,157.08100,157.09500,14.00,0,0
USDJPY,M1,2026.05.01 22:25:00,157.02500,157.02800,157.02400,157.02500,34,157.08100,157.09500,14.00,0,0
USDJPY,M1,2026.05.01 22:26:00,157.02400,157.02400,157.00900,157.01200,62,157.08100,157.09500,14.00,0,0
USDJPY,M1,2026.05.01 22:27:00,157.01000,157.02000,157.00900,157.02000,56,157.08100,157.09500,14.00,0,0
USDJPY,M1,2026.05.01 22:28:00,157.01800,157.03300,157.01800,157.03300,39,157.08100,157.09500,14.00,0,0
USDJPY,M1,2026.05.01 22:29:00,157.03300,157.03900,157.03300,157.03700,29,157.08100,157.09500,14.00,0,0
USDJPY,M1,2026.05.01 22:30:00,157.03700,157.05100,157.03200,157.05100,62,157.08100,157.09500,14.00,0,0
USDJPY,M1,2026.05.01 22:31:00,157.05200,157.05800,157.04700,157.05000,55,157.08100,157.09500,14.00,0,0
USDJPY,M1,2026.05.01 22:32:00,157.05100,157.05200,157.04000,157.04500,46,157.08100,157.09500,14.00,0,0
USDJPY,M1,2026.05.01 22:33:00,157.04500,157.04600,157.04400,157.04400,19,157.08100,157.09500,14.00,0,0
USDJPY,M1,2026.05.01 22:34:00,157.04200,157.04700,157.04200,157.04500,37,157.08100,157.09500,14.00,0,0
USDJPY,M1,2026.05.01 22:35:00,157.04300,157.04900,157.03800,157.04900,43,157.08100,157.09500,14.00,0,0
USDJPY,M1,2026.05.01 22:36:00,157.05100,157.06000,157.05100,157.05700,38,157.08100,157.09500,14.00,0,0
USDJPY,M1,2026.05.01 22:37:00,157.05600,157.06200,157.05200,157.06000,48,157.08100,157.09500,14.00,0,0
USDJPY,M1,2026.05.01 22:38:00,157.06000,157.06100,157.05300,157.05300,51,157.08100,157.09500,14.00,0,0
USDJPY,M1,2026.05.01 22:39:00,157.05300,157.05300,157.04200,157.04800,30,157.08100,157.09500,14.00,0,0
USDJPY,M1,2026.05.01 22:40:00,157.04600,157.05000,157.03100,157.03100,52,157.08100,157.09500,14.00,0,0
USDJPY,M1,2026.05.01 22:41:00,157.03000,157.04300,157.02900,157.03400,44,157.08100,157.09500,14.00,0,0
USDJPY,M1,2026.05.01 22:42:00,157.03100,157.04800,157.03100,157.04600,51,157.08100,157.09500,14.00,0,0
USDJPY,M1,2026.05.01 22:43:00,157.04800,157.05900,157.04400,157.05800,41,157.08100,157.09500,14.00,0,0
USDJPY,M1,2026.05.01 22:44:00,157.06000,157.06200,157.05800,157.06000,44,157.08100,157.09500,14.00,0,0
USDJPY,M1,2026.05.01 22:45:00,157.06100,157.06200,157.04700,157.05700,68,157.08100,157.09500,14.00,0,0
USDJPY,M1,2026.05.01 22:46:00,157.05800,157.06300,157.04300,157.04600,50,157.08100,157.09500,14.00,0,0
USDJPY,M1,2026.05.01 22:47:00,157.04700,157.05900,157.04400,157.05800,40,157.08100,157.09500,14.00,0,0
