symbol,timeframe,time,open,high,low,close,volume,bid,ask,spread,nmp_low,nmp_high
USDNOK,M30,2026.04.29 20:30:00,9.31480,9.31780,9.30480,9.30480,2599,9.27330,9.27660,330.00,0,0
USDNOK,M30,2026.04.29 21:00:00,9.30480,9.33140,9.30372,9.33020,4498,9.27330,9.27660,330.00,0,0
USDNOK,M30,2026.04.29 21:30:00,9.33010,9.34370,9.32202,9.33110,4252,9.27330,9.27660,330.00,0,0
USDNOK,M30,2026.04.29 22:00:00,9.33110,9.33500,9.32420,9.33200,2389,9.27330,9.27660,330.00,0,0
USDNOK,M30,2026.04.29 22:30:00,9.33240,9.33820,9.32840,9.32950,2421,9.27330,9.27660,330.00,0,0
USDNOK,M30,2026.04.29 23:00:00,9.32950,9.34190,9.32880,9.33720,2283,9.27330,9.27660,330.00,0,0
USDNOK,M30,2026.04.29 23:30:00,9.33710,9.33850,9.32980,9.33000,1584,9.27330,9.27660,330.00,0,0
USDNOK,M30,2026.04.30 00:30:00,9.29823,9.31660,9.29543,9.31392,1488,9.27330,9.27660,330.00,0,0
USDNOK,M30,2026.04.30 01:00:00,9.31392,9.32151,9.31093,9.31865,2128,9.27330,9.27660,330.00,0,0
USDNOK,M30,2026.04.30 01:30:00,9.31879,9.32071,9.31795,9.32036,5312,9.27330,9.27660,330.00,0,0
USDNOK,M30,2026.04.30 02:00:00,9.32024,9.32309,9.31939,9.32188,3361,9.27330,9.27660,330.00,0,0
USDNOK,M30,2026.04.30 02:30:00,9.32214,9.32242,9.31738,9.32080,6575,9.27330,9.27660,330.00,0,0
USDNOK,M30,2026.04.30 03:00:00,9.32070,9.32111,9.31605,9.32000,365,9.27330,9.27660,330.00,0,0
USDNOK,M30,2026.04.30 03:30:00,9.31999,9.32442,9.31896,9.32396,175,9.27330,9.27660,330.00,0,0
USDNOK,M30,2026.04.30 04:00:00,9.32439,9.32560,9.32072,9.32374,158,9.27330,9.27660,330.00,0,0
USDNOK,M30,2026.04.30 04:30:00,9.32411,9.32629,9.31959,9.32374,531,9.27330,9.27660,330.00,0,0
USDNOK,M30,2026.04.30 05:00:00,9.32374,9.32569,9.31570,9.32123,949,9.27330,9.27660,330.00,0,0
