symbol,timeframe,time,open,high,low,close,volume,bid,ask,spread,nmp_low,nmp_high
US.ECOMM,M5,2026.05.01 21:50:00,3110.34000,3114.60000,3110.08000,3113.21000,640,3115.74000,3119.27000,353.00,0,0
US.ECOMM,M5,2026.05.01 21:55:00,3113.24000,3116.36000,3112.23000,3113.89000,636,3115.74000,3119.27000,353.00,0,0
US.ECOMM,M5,2026.05.01 22:00:00,3113.89000,3119.43000,3113.85000,3117.45000,788,3115.74000,3119.27000,353.00,0,0
US.ECOMM,M5,2026.05.01 22:05:00,3117.45000,3122.50000,3117.45000,3122.50000,717,3115.74000,3119.27000,353.00,0,0
US.ECOMM,M5,2026.05.01 22:10:00,3122.15000,3126.36000,3120.85000,3124.88000,720,3115.74000,3119.27000,353.00,0,0
US.ECOMM,M5,2026.05.01 22:15:00,3124.88000,3127.26000,3121.53000,3122.29000,712,3115.74000,3119.27000,353.00,0,0
US.ECOMM,M5,2026.05.01 22:20:00,3121.66000,3123.41000,3118.22000,3118.63000,734,3115.74000,3119.27000,353.00,0,0
US.ECOMM,M5,2026.05.01 22:25:00,3118.57000,3120.96000,3117.17000,3120.47000,720,3115.74000,3119.27000,353.00,0,0
US.ECOMM,M5,2026.05.01 22:30:00,3120.47000,3122.22000,3117.63000,3119.22000,868,3115.74000,3119.27000,353.00,0,0
US.ECOMM,M5,2026.05.01 22:35:00,3119.22000,3120.77000,3117.37000,3119.01000,781,3115.74000,3119.27000,353.00,0,0
US.ECOMM,M5,2026.05.01 22:40:00,3118.82000,3120.27000,3117.68000,3118.62000,769,3115.74000,3119.27000,353.00,0,0
US.ECOMM,M5,2026.05.01 22:45:00,3118.57000,3118.57000,3115.57000,3116.24000,846,3115.74000,3119.27000,353.00,0,0
US.ECOMM,M5,2026.05.01 22:50:00,3116.24000,3118.83000,3114.38000,3115.93000,250,3115.74000,3119.27000,353.00,0,0
