symbol,timeframe,time,open,high,low,close,volume,bid,ask,spread,nmp_low,nmp_high
USOil,M1,2026.05.01 21:54:00,102.17400,102.27400,102.17100,102.25500,33,102.16400,102.20400,40.00,0,0
USOil,M1,2026.05.01 21:55:00,102.24400,102.24500,102.08400,102.08400,34,102.16400,102.20400,40.00,0,0
USOil,M1,2026.05.01 21:56:00,102.07400,102.26500,102.04400,102.23500,56,102.16400,102.20400,40.00,0,0
USOil,M1,2026.05.01 21:57:00,102.23100,102.25600,102.14600,102.23600,30,102.16400,102.20400,40.00,0,0
USOil,M1,2026.05.01 21:58:00,102.24600,102.25500,102.17400,102.19900,41,102.16400,102.20400,40.00,0,0
USOil,M1,2026.05.01 21:59:00,102.18900,102.24500,102.15600,102.17000,37,102.16400,102.20400,40.00,0,0
USOil,M1,2026.05.01 22:00:00,102.17500,102.21100,102.14900,102.18100,49,102.16400,102.20400,40.00,0,0
USOil,M1,2026.05.01 22:01:00,102.15600,102.16600,102.05400,102.05400,66,102.16400,102.20400,40.00,0,0
USOil,M1,2026.05.01 22:02:00,102.06500,102.11400,101.99600,102.10900,71,102.16400,102.20400,40.00,0,0
USOil,M1,2026.05.01 22:03:00,102.10600,102.15100,102.07400,102.15000,35,102.16400,102.20400,40.00,0,0
USOil,M1,2026.05.01 22:04:00,102.14000,102.18000,102.11600,102.15500,30,102.16400,102.20400,40.00,0,0
USOil,M1,2026.05.01 22:05:00,102.15400,102.15400,102.05900,102.09000,20,102.16400,102.20400,40.00,0,0
USOil,M1,2026.05.01 22:06:00,102.11100,102.17100,102.03900,102.07100,34,102.16400,102.20400,40.00,0,0
USOil,M1,2026.05.01 22:07:00,102.07500,102.07600,101.98900,102.00100,41,102.16400,102.20400,40.00,0,0
USOil,M1,2026.05.01 22:08:00,102.00600,102.09100,102.00400,102.08400,66,102.16400,102.20400,40.00,0,0
USOil,M1,2026.05.01 22:09:00,102.07900,102.08400,101.99400,102.02500,24,102.16400,102.20400,40.00,0,0
USOil,M1,2026.05.01 22:10:00,102.03100,102.11500,102.03100,102.05600,47,102.16400,102.20400,40.00,0,0
USOil,M1,2026.05.01 22:11:00,102.06500,102.06500,101.96900,101.98400,26,102.16400,102.20400,40.00,0,0
USOil,M1,2026.05.01 22:12:00,101.99100,102.00100,101.95600,101.99000,43,102.16400,102.20400,40.00,0,0
USOil,M1,2026.05.01 22:13:00,101.98100,101.99600,101.83400,101.84600,43,102.16400,102.20400,40.00,0,0
USOil,M1,2026.05.01 22:14:00,101.83500,101.89100,101.82900,101.87400,51,102.16400,102.20400,40.00,0,0
USOil,M1,2026.05.01 22:15:00,101.87600,101.98000,101.87400,101.98000,38,102.16400,102.20400,40.00,0,0
USOil,M1,2026.05.01 22:16:00,101.98900,102.08000,101.98500,101.99100,62,102.16400,102.20400,40.00,0,0
USOil,M1,2026.05.01 22:17:00,101.98400,102.02600,101.95900,101.97000,31,102.16400,102.20400,40.00,0,0
USOil,M1,2026.05.01 22:18:00,101.96900,101.99600,101.95400,101.99600,23,102.16400,102.20400,40.00,0,0
USOil,M1,2026.05.01 22:19:00,102.00100,102.02400,101.96000,101.99500,38,102.16400,102.20400,40.00,0,0
USOil,M1,2026.05.01 22:20:00,101.99000,102.01100,101.97500,102.01000,26,102.16400,102.20400,40.00,0,0
USOil,M1,2026.05.01 22:21:00,102.00400,102.00400,101.86400,101.89600,47,102.16400,102.20400,40.00,0,0
USOil,M1,2026.05.01 22:22:00,101.89000,101.94100,101.88900,101.94100,19,102.16400,102.20400,40.00,0,0
USOil,M1,2026.05.01 22:23:00,101.94100,102.02400,101.93000,102.02400,33,102.16400,102.20400,40.00,0,0
USOil,M1,2026.05.01 22:24:00,102.01600,102.03600,101.96400,101.97600,44,102.16400,102.20400,40.00,0,0
USOil,M1,2026.05.01 22:25:00,101.96900,101.99600,101.89500,101.90000,28,102.16400,102.20400,40.00,0,0
USOil,M1,2026.05.01 22:26:00,101.90500,101.95900,101.83900,101.84400,60,102.16400,102.20400,40.00,0,0
USOil,M1,2026.05.01 22:27:00,101.84500,101.89100,101.82900,101.89000,30,102.16400,102.20400,40.00,0,0
USOil,M1,2026.05.01 22:28:00,101.88900,102.00400,101.88900,101.99400,43,102.16400,102.20400,40.00,0,0
USOil,M1,2026.05.01 22:29:00,101.99100,102.02500,101.94500,102.02500,42,102.16400,102.20400,40.00,0,0
USOil,M1,2026.05.01 22:30:00,102.01100,102.11600,102.00500,102.08000,60,102.16400,102.20400,40.00,0,0
USOil,M1,2026.05.01 22:31:00,102.10100,102.10600,101.98400,102.00100,66,102.16400,102.20400,40.00,0,0
USOil,M1,2026.05.01 22:32:00,102.01000,102.04600,101.97500,102.03400,37,102.16400,102.20400,40.00,0,0
USOil,M1,2026.05.01 22:33:00,102.03000,102.03000,101.94600,101.94600,46,102.16400,102.20400,40.00,0,0
USOil,M1,2026.05.01 22:34:00,101.95500,102.00100,101.93600,101.95900,36,102.16400,102.20400,40.00,0,0
USOil,M1,2026.05.01 22:35:00,101.96500,102.06900,101.90600,102.06900,58,102.16400,102.20400,40.00,0,0
USOil,M1,2026.05.01 22:36:00,102.05500,102.13500,102.05500,102.09900,54,102.16400,102.20400,40.00,0,0
USOil,M1,2026.05.01 22:37:00,102.11000,102.11000,102.02500,102.03500,23,102.16400,102.20400,40.00,0,0
USOil,M1,2026.05.01 22:38:00,102.00500,102.00500,101.90000,101.92100,33,102.16400,102.20400,40.00,0,0
USOil,M1,2026.05.01 22:39:00,101.91500,101.91500,101.81400,101.88100,44,102.16400,102.20400,40.00,0,0
USOil,M1,2026.05.01 22:40:00,101.87400,101.91000,101.80400,101.84500,55,102.16400,102.20400,40.00,0,0
USOil,M1,2026.05.01 22:41:00,101.85000,101.88500,101.83400,101.84600,32,102.16400,102.20400,40.00,0,0
USOil,M1,2026.05.01 22:42:00,101.84400,102.01500,101.84400,102.01500,50,102.16400,102.20400,40.00,0,0
USOil,M1,2026.05.01 22:43:00,101.99600,102.02600,101.94500,101.94500,30,102.16400,102.20400,40.00,0,0
USOil,M1,2026.05.01 22:44:00,101.93900,101.98900,101.93600,101.96400,40,102.16400,102.20400,40.00,0,0
USOil,M1,2026.05.01 22:45:00,101.94600,101.98400,101.93500,101.97400,29,102.16400,102.20400,40.00,0,0
USOil,M1,2026.05.01 22:46:00,101.98000,102.02600,101.97100,102.00600,48,102.16400,102.20400,40.00,0,0
USOil,M1,2026.05.01 22:47:00,102.01000,102.02000,101.93000,101.94100,22,102.16400,102.20400,40.00,0,0
USOil,M1,2026.05.01 22:48:00,101.96000,102.04600,101.94000,102.03400,48,102.16400,102.20400,40.00,0,0
USOil,M1,2026.05.01 22:49:00,102.03000,102.09500,102.02100,102.08100,30,102.16400,102.20400,40.00,0,0
USOil,M1,2026.05.01 22:50:00,102.07500,102.16400,102.07000,102.16400,39,102.16400,102.20400,40.00,0,0
