symbol,timeframe,time,open,high,low,close,volume,bid,ask,spread,nmp_low,nmp_high
VOLX,M5,2026.05.01 21:50:00,19.57500,19.58000,19.56000,19.58000,10,19.61500,19.64500,30.00,0,0
VOLX,M5,2026.05.01 21:55:00,19.57500,19.60500,19.57500,19.59500,18,19.61500,19.64500,30.00,0,0
VOLX,M5,2026.05.01 22:00:00,19.59000,19.59000,19.53500,19.54000,19,19.61500,19.64500,30.00,0,0
VOLX,M5,2026.05.01 22:05:00,19.55000,19.58000,19.55000,19.57000,16,19.61500,19.64500,30.00,0,0
VOLX,M5,2026.05.01 22:10:00,19.57500,19.57500,19.55000,19.56000,14,19.61500,19.64500,30.00,0,0
VOLX,M5,2026.05.01 22:15:00,19.56500,19.57000,19.52500,19.52500,13,19.61500,19.64500,30.00,0,0
VOLX,M5,2026.05.01 22:20:00,19.53000,19.53000,19.50000,19.52000,7,19.61500,19.64500,30.00,0,0
VOLX,M5,2026.05.01 22:25:00,19.53000,19.54000,19.52500,19.54000,6,19.61500,19.64500,30.00,0,0
VOLX,M5,2026.05.01 22:30:00,19.54000,19.58000,19.54000,19.58000,6,19.61500,19.64500,30.00,0,0
VOLX,M5,2026.05.01 22:35:00,19.60000,19.60000,19.58000,19.58000,3,19.61500,19.64500,30.00,0,0
VOLX,M5,2026.05.01 22:40:00,19.57000,19.58000,19.55000,19.57500,10,19.61500,19.64500,30.00,0,0
VOLX,M5,2026.05.01 22:45:00,19.57000,19.61000,19.57000,19.58500,20,19.61500,19.64500,30.00,0,0
VOLX,M5,2026.05.01 22:50:00,19.58000,19.61000,19.58000,19.61000,4,19.61500,19.64500,30.00,0,0
