symbol,timeframe,time,open,high,low,close,volume,bid,ask,spread,nmp_low,nmp_high
WFC.ext,M5,2026.05.01 07:05:00,82.29000,82.29000,82.29000,82.29000,1,81.07000,81.22000,15.00,0,0
WFC.ext,M5,2026.05.01 07:10:00,82.28000,82.29000,82.28000,82.28000,4,81.07000,81.22000,15.00,0,0
WFC.ext,M5,2026.05.01 07:15:00,82.27000,82.29000,82.27000,82.28000,3,81.07000,81.22000,15.00,0,0
WFC.ext,M5,2026.05.01 07:25:00,82.28000,82.31000,82.28000,82.30000,4,81.07000,81.22000,15.00,0,0
WFC.ext,M5,2026.05.01 07:30:00,82.32000,82.32000,82.31000,82.31000,4,81.07000,81.22000,15.00,0,0
WFC.ext,M5,2026.05.01 07:35:00,82.30000,82.31000,82.30000,82.31000,2,81.07000,81.22000,15.00,0,0
WFC.ext,M5,2026.05.01 08:25:00,82.27000,82.27000,82.26000,82.27000,3,81.07000,81.22000,15.00,0,0
WFC.ext,M5,2026.05.01 08:30:00,82.26000,82.29000,82.26000,82.29000,3,81.07000,81.22000,15.00,0,0
WFC.ext,M5,2026.05.01 08:35:00,82.28000,82.28000,82.28000,82.28000,1,81.07000,81.22000,15.00,0,0
WFC.ext,M5,2026.05.01 09:45:00,82.28000,82.28000,82.28000,82.28000,1,81.07000,81.22000,15.00,0,0
WFC.ext,M5,2026.05.01 09:50:00,82.28000,82.28000,82.28000,82.28000,1,81.07000,81.22000,15.00,0,0
WFC.ext,M5,2026.05.01 10:05:00,82.29000,82.29000,82.29000,82.29000,1,81.07000,81.22000,15.00,0,0
WFC.ext,M5,2026.05.01 10:15:00,82.28000,82.28000,82.28000,82.28000,1,81.07000,81.22000,15.00,0,0
WFC.ext,M5,2026.05.01 10:30:00,82.28000,82.28000,82.28000,82.28000,1,81.07000,81.22000,15.00,0,0
WFC.ext,M5,2026.05.01 10:50:00,82.26000,82.26000,82.26000,82.26000,1,81.07000,81.22000,15.00,0,0
WFC.ext,M5,2026.05.01 11:00:00,82.23000,82.23000,82.23000,82.23000,1,81.07000,81.22000,15.00,0,0
WFC.ext,M5,2026.05.01 11:05:00,82.31000,82.31000,82.23000,82.23000,3,81.07000,81.22000,15.00,0,0
WFC.ext,M5,2026.05.01 11:15:00,82.29000,82.29000,82.29000,82.29000,1,81.07000,81.22000,15.00,0,0
WFC.ext,M5,2026.05.01 13:10:00,82.44000,82.45000,82.29000,82.29000,4,81.07000,81.22000,15.00,0,0
WFC.ext,M5,2026.05.01 13:25:00,82.46000,82.46000,82.29000,82.29000,2,81.07000,81.22000,15.00,0,0
WFC.ext,M5,2026.05.01 14:00:00,82.31000,82.31000,82.24000,82.24000,4,81.07000,81.22000,15.00,0,0
WFC.ext,M5,2026.05.01 15:10:00,82.43000,82.43000,82.43000,82.43000,1,81.07000,81.22000,15.00,0,0
WFC.ext,M5,2026.05.01 16:00:00,82.43000,82.43000,82.43000,82.43000,1,81.07000,81.22000,15.00,0,0
WFC.ext,M5,2026.05.01 16:30:00,82.28000,82.28000,81.65000,82.02000,85,81.07000,81.22000,15.00,0,0
WFC.ext,M5,2026.05.01 16:35:00,82.00000,82.20000,81.89000,81.91000,404,81.07000,81.22000,15.00,0,0
WFC.ext,M5,2026.05.01 16:40:00,81.91000,82.03000,81.71000,82.03000,430,81.07000,81.22000,15.00,0,0
WFC.ext,M5,2026.05.01 16:45:00,82.04000,82.12000,81.83000,82.06000,407,81.07000,81.22000,15.00,0,0
WFC.ext,M5,2026.05.01 16:50:00,82.07000,82.20000,82.01000,82.19000,298,81.07000,81.22000,15.00,0,0
WFC.ext,M5,2026.05.01 16:55:00,82.20000,82.56000,82.16000,82.50000,364,81.07000,81.22000,15.00,0,0
WFC.ext,M5,2026.05.01 17:00:00,82.48000,82.59000,82.13000,82.24000,392,81.07000,81.22000,15.00,0,0
WFC.ext,M5,2026.05.01 17:05:00,82.24000,82.30000,81.94000,81.99000,314,81.07000,81.22000,15.00,0,0
WFC.ext,M5,2026.05.01 17:10:00,81.96000,82.01000,81.87000,81.91000,252,81.07000,81.22000,15.00,0,0
WFC.ext,M5,2026.05.01 17:15:00,81.93000,82.12000,81.91000,81.91000,271,81.07000,81.22000,15.00,0,0
