symbol,timeframe,time,open,high,low,close,volume,bid,ask,spread,nmp_low,nmp_high
XAGUSD,M15,2026.04.30 21:00:00,73.50200,73.69400,73.50200,73.58200,2591,75.35800,75.68400,326.00,0,0
XAGUSD,M15,2026.04.30 21:15:00,73.58200,73.66400,73.39700,73.44300,1936,75.35800,75.68400,326.00,0,0
XAGUSD,M15,2026.04.30 21:30:00,73.44600,73.65200,73.39400,73.43100,1858,75.35800,75.68400,326.00,0,0
XAGUSD,M15,2026.04.30 21:45:00,73.43000,73.62100,73.40900,73.57300,1940,75.35800,75.68400,326.00,0,0
XAGUSD,M15,2026.04.30 22:00:00,73.56700,73.67500,73.53600,73.54100,2805,75.35800,75.68400,326.00,0,0
XAGUSD,M15,2026.04.30 22:15:00,73.53900,73.56300,73.37100,73.42100,2331,75.35800,75.68400,326.00,0,0
XAGUSD,M15,2026.04.30 22:30:00,73.42400,73.57300,73.36000,73.56800,1998,75.35800,75.68400,326.00,0,0
XAGUSD,M15,2026.04.30 22:45:00,73.56300,73.58200,73.46000,73.50000,2598,75.35800,75.68400,326.00,0,0
XAGUSD,M15,2026.04.30 23:00:00,73.50300,73.58300,73.44500,73.47300,1980,75.35800,75.68400,326.00,0,0
XAGUSD,M15,2026.04.30 23:15:00,73.47300,73.54400,73.45900,73.48600,1327,75.35800,75.68400,326.00,0,0
XAGUSD,M15,2026.04.30 23:30:00,73.47700,73.50700,73.44400,73.48900,1087,75.35800,75.68400,326.00,0,0
XAGUSD,M15,2026.04.30 23:45:00,73.48900,73.63800,73.48100,73.59600,1066,75.35800,75.68400,326.00,0,0
XAGUSD,M15,2026.05.01 01:00:00,73.98800,74.15500,73.90900,73.92800,960,75.35800,75.68400,326.00,0,0
XAGUSD,M15,2026.05.01 01:15:00,73.92700,74.00900,73.90600,74.00700,951,75.35800,75.68400,326.00,0,0
XAGUSD,M15,2026.05.01 01:30:00,74.01200,74.01300,73.87500,74.01300,948,75.35800,75.68400,326.00,0,0
XAGUSD,M15,2026.05.01 01:45:00,74.01100,74.03400,73.91500,73.98800,992,75.35800,75.68400,326.00,0,0
XAGUSD,M15,2026.05.01 02:00:00,73.99200,74.01500,73.93200,73.94100,796,75.35800,75.68400,326.00,0,0
XAGUSD,M15,2026.05.01 02:15:00,73.94200,74.06800,73.92400,74.05700,525,75.35800,75.68400,326.00,0,0
XAGUSD,M15,2026.05.01 02:30:00,74.05600,74.41700,74.04100,74.21800,875,75.35800,75.68400,326.00,0,0
XAGUSD,M15,2026.05.01 02:45:00,74.21500,74.35800,74.16700,74.18700,1225,75.35800,75.68400,326.00,0,0
XAGUSD,M15,2026.05.01 03:00:00,74.18800,74.38000,74.10800,74.15900,2453,75.35800,75.68400,326.00,0,0
XAGUSD,M15,2026.05.01 03:15:00,74.15800,74.41900,74.11500,74.28800,2093,75.35800,75.68400,326.00,0,0
XAGUSD,M15,2026.05.01 03:30:00,74.28800,74.28800,74.04600,74.10600,1585,75.35800,75.68400,326.00,0,0
XAGUSD,M15,2026.05.01 03:45:00,74.11200,74.22500,73.98700,73.99500,1813,75.35800,75.68400,326.00,0,0
XAGUSD,M15,2026.05.01 04:00:00,73.99400,74.06300,73.91300,73.99200,1537,75.35800,75.68400,326.00,0,0
XAGUSD,M15,2026.05.01 04:15:00,73.99400,74.01200,73.87600,73.92100,1170,75.35800,75.68400,326.00,0,0
XAGUSD,M15,2026.05.01 04:30:00,73.91900,74.06200,73.91800,73.98200,1464,75.35800,75.68400,326.00,0,0
XAGUSD,M15,2026.05.01 04:45:00,73.97700,74.05000,73.95300,74.02400,1179,75.35800,75.68400,326.00,0,0
XAGUSD,M15,2026.05.01 05:00:00,74.02100,74.40300,73.96700,74.26100,1331,75.35800,75.68400,326.00,0,0
XAGUSD,M15,2026.05.01 05:15:00,74.25500,74.43400,74.23300,74.27400,1498,75.35800,75.68400,326.00,0,0
XAGUSD,M15,2026.05.01 05:30:00,74.27400,74.31300,74.02300,74.06100,1273,75.35800,75.68400,326.00,0,0
XAGUSD,M15,2026.05.01 05:45:00,74.06100,74.06100,73.90000,74.01400,1238,75.35800,75.68400,326.00,0,0
XAGUSD,M15,2026.05.01 06:00:00,74.01200,74.06300,73.94700,74.05600,1100,75.35800,75.68400,326.00,0,0
XAGUSD,M15,2026.05.01 06:15:00,74.05700,74.22100,74.04500,74.21000,888,75.35800,75.68400,326.00,0,0
XAGUSD,M15,2026.05.01 06:30:00,74.22700,74.32200,74.09700,74.13200,1617,75.35800,75.68400,326.00,0,0
XAGUSD,M15,2026.05.01 06:45:00,74.13000,74.18800,74.08600,74.13500,1107,75.35800,75.68400,326.00,0,0
XAGUSD,M15,2026.05.01 07:00:00,74.14300,74.19500,73.95000,73.99300,1346,75.35800,75.68400,326.00,0,0
XAGUSD,M15,2026.05.01 07:15:00,73.99100,74.03100,73.92600,73.93900,987,75.35800,75.68400,326.00,0,0
XAGUSD,M15,2026.05.01 07:30:00,73.94600,73.94600,73.66300,73.75300,1479,75.35800,75.68400,326.00,0,0
XAGUSD,M15,2026.05.01 07:45:00,73.75300,73.77200,73.59300,73.70500,998,75.35800,75.68400,326.00,0,0
XAGUSD,M15,2026.05.01 08:00:00,73.69300,73.82100,73.66000,73.81300,1224,75.35800,75.68400,326.00,0,0
XAGUSD,M15,2026.05.01 08:15:00,73.82200,73.89500,73.72600,73.87000,935,75.35800,75.68400,326.00,0,0
XAGUSD,M15,2026.05.01 08:30:00,73.87100,73.89700,73.74900,73.76100,1076,75.35800,75.68400,326.00,0,0
XAGUSD,M15,2026.05.01 08:45:00,73.76000,73.87500,73.58600,73.64800,1410,75.35800,75.68400,326.00,0,0
XAGUSD,M15,2026.05.01 09:00:00,73.65100,73.71400,73.54600,73.63200,1602,75.35800,75.68400,326.00,0,0
XAGUSD,M15,2026.05.01 09:15:00,73.63500,73.68700,73.44800,73.45500,1560,75.35800,75.68400,326.00,0,0
XAGUSD,M15,2026.05.01 09:30:00,73.46400,73.53800,73.19100,73.31700,1555,75.35800,75.68400,326.00,0,0
XAGUSD,M15,2026.05.01 09:45:00,73.31900,73.43900,73.18600,73.28300,2446,75.35800,75.68400,326.00,0,0
XAGUSD,M15,2026.05.01 10:00:00,73.28000,73.45100,73.17600,73.42100,2397,75.35800,75.68400,326.00,0,0
XAGUSD,M15,2026.05.01 10:15:00,73.42100,73.50000,73.15300,73.39000,1753,75.35800,75.68400,326.00,0,0
XAGUSD,M15,2026.05.01 10:30:00,73.39200,73.39600,73.14300,73.20500,1659,75.35800,75.68400,326.00,0,0
XAGUSD,M15,2026.05.01 10:45:00,73.20100,73.26700,72.91300,72.99500,1627,75.35800,75.68400,326.00,0,0
XAGUSD,M15,2026.05.01 11:00:00,72.99700,73.14600,72.95500,73.00400,1740,75.35800,75.68400,326.00,0,0
XAGUSD,M15,2026.05.01 11:15:00,73.00400,73.10600,72.91400,72.94400,1757,75.35800,75.68400,326.00,0,0
XAGUSD,M15,2026.05.01 11:30:00,72.94200,73.03800,72.88600,72.98800,1461,75.35800,75.68400,326.00,0,0
XAGUSD,M15,2026.05.01 11:45:00,72.99000,73.00200,72.86000,72.97600,1159,75.35800,75.68400,326.00,0,0
XAGUSD,M15,2026.05.01 12:00:00,72.97200,72.97900,72.82200,72.90900,1326,75.35800,75.68400,326.00,0,0
XAGUSD,M15,2026.05.01 12:15:00,72.90700,73.07100,72.89300,73.04500,1263,75.35800,75.68400,326.00,0,0
XAGUSD,M15,2026.05.01 12:30:00,73.04500,73.15100,73.02600,73.09100,1075,75.35800,75.68400,326.00,0,0
XAGUSD,M15,2026.05.01 12:45:00,73.08700,73.15800,72.93600,72.97100,1275,75.35800,75.68400,326.00,0,0
XAGUSD,M15,2026.05.01 13:00:00,72.97100,73.15400,72.96200,73.12500,1248,75.35800,75.68400,326.00,0,0
XAGUSD,M15,2026.05.01 13:15:00,73.12400,73.18200,73.10600,73.12500,1128,75.35800,75.68400,326.00,0,0
XAGUSD,M15,2026.05.01 13:30:00,73.12400,73.18600,73.10100,73.16900,1224,75.35800,75.68400,326.00,0,0
XAGUSD,M15,2026.05.01 13:45:00,73.16500,73.23300,73.12700,73.14200,1033,75.35800,75.68400,326.00,0,0
XAGUSD,M15,2026.05.01 14:00:00,73.16200,73.17300,72.98200,73.08700,1492,75.35800,75.68400,326.00,0,0
XAGUSD,M15,2026.05.01 14:15:00,73.08300,73.46600,73.05500,73.33300,1371,75.35800,75.68400,326.00,0,0
XAGUSD,M15,2026.05.01 14:30:00,73.33300,73.42100,73.29500,73.38200,1423,75.35800,75.68400,326.00,0,0
XAGUSD,M15,2026.05.01 14:45:00,73.38100,73.66600,73.32000,73.54600,1432,75.35800,75.68400,326.00,0,0
XAGUSD,M15,2026.05.01 15:00:00,73.54500,74.11700,73.53300,73.82400,2554,75.35800,75.68400,326.00,0,0
XAGUSD,M15,2026.05.01 15:15:00,73.82300,75.08300,73.81300,74.75300,3761,75.35800,75.68400,326.00,0,0
XAGUSD,M15,2026.05.01 15:30:00,74.75500,74.78600,74.16600,74.22000,3037,75.35800,75.68400,326.00,0,0
XAGUSD,M15,2026.05.01 15:45:00,74.22700,74.28700,73.84200,74.06900,2386,75.35800,75.68400,326.00,0,0
XAGUSD,M15,2026.05.01 16:00:00,74.06600,74.55100,74.02900,74.43100,2756,75.35800,75.68400,326.00,0,0
XAGUSD,M15,2026.05.01 16:15:00,74.42400,74.62000,74.39000,74.55100,2278,75.35800,75.68400,326.00,0,0
XAGUSD,M15,2026.05.01 16:30:00,74.55200,75.51500,74.46000,75.50200,5369,75.35800,75.68400,326.00,0,0
XAGUSD,M15,2026.05.01 16:45:00,75.47800,76.22700,75.20000,76.08900,5477,75.35800,75.68400,326.00,0,0
XAGUSD,M15,2026.05.01 17:00:00,76.08500,76.80000,76.06900,76.65700,6078,75.35800,75.68400,326.00,0,0
XAGUSD,M15,2026.05.01 17:15:00,76.65600,76.81800,76.34500,76.36100,5721,75.35800,75.68400,326.00,0,0
XAGUSD,M15,2026.05.01 17:30:00,76.36600,76.36800,75.65100,75.66900,5529,75.35800,75.68400,326.00,0,0
XAGUSD,M15,2026.05.01 17:45:00,75.66500,75.77100,75.49100,75.58400,5319,75.35800,75.68400,326.00,0,0
XAGUSD,M15,2026.05.01 18:00:00,75.60300,75.61100,75.11100,75.47000,5022,75.35800,75.68400,326.00,0,0
XAGUSD,M15,2026.05.01 18:15:00,75.47300,75.73500,75.46600,75.55300,3891,75.35800,75.68400,326.00,0,0
XAGUSD,M15,2026.05.01 18:30:00,75.55200,76.22700,75.55200,75.94300,4096,75.35800,75.68400,326.00,0,0
XAGUSD,M15,2026.05.01 18:45:00,75.94300,76.22900,75.71200,75.94700,4043,75.35800,75.68400,326.00,0,0
XAGUSD,M15,2026.05.01 19:00:00,75.94500,76.00700,75.77800,75.88900,3730,75.35800,75.68400,326.00,0,0
XAGUSD,M15,2026.05.01 19:15:00,75.88900,76.16100,75.63600,75.65600,4128,75.35800,75.68400,326.00,0,0
XAGUSD,M15,2026.05.01 19:30:00,75.65500,75.81000,75.49100,75.73300,3291,75.35800,75.68400,326.00,0,0
XAGUSD,M15,2026.05.01 19:45:00,75.73200,75.97600,75.69100,75.86600,2255,75.35800,75.68400,326.00,0,0
XAGUSD,M15,2026.05.01 20:00:00,75.86800,76.01900,75.84700,75.99500,2175,75.35800,75.68400,326.00,0,0
XAGUSD,M15,2026.05.01 20:15:00,75.99700,76.00000,75.67400,75.80900,3074,75.35800,75.68400,326.00,0,0
XAGUSD,M15,2026.05.01 20:30:00,75.80900,75.81700,75.69200,75.76500,2655,75.35800,75.68400,326.00,0,0
XAGUSD,M15,2026.05.01 20:45:00,75.75700,75.97000,75.74300,75.83700,2617,75.35800,75.68400,326.00,0,0
XAGUSD,M15,2026.05.01 21:00:00,75.83700,75.86100,75.51100,75.52800,2924,75.35800,75.68400,326.00,0,0
XAGUSD,M15,2026.05.01 21:15:00,75.52500,75.87700,75.50100,75.77400,2741,75.35800,75.68400,326.00,0,0
XAGUSD,M15,2026.05.01 21:30:00,75.77600,75.78700,75.52100,75.57700,2285,75.35800,75.68400,326.00,0,0
XAGUSD,M15,2026.05.01 21:45:00,75.57300,75.67000,75.46400,75.63300,1803,75.35800,75.68400,326.00,0,0
XAGUSD,M15,2026.05.01 22:00:00,75.63500,75.69300,75.53800,75.68900,1477,75.35800,75.68400,326.00,0,0
XAGUSD,M15,2026.05.01 22:15:00,75.69000,75.74100,75.57900,75.57900,1496,75.35800,75.68400,326.00,0,0
XAGUSD,M15,2026.05.01 22:30:00,75.58200,75.61200,75.28500,75.31600,2318,75.35800,75.68400,326.00,0,0
XAGUSD,M15,2026.05.01 22:45:00,75.31700,75.40600,75.30500,75.33700,849,75.35800,75.68400,326.00,0,0
