symbol,timeframe,time,open,high,low,close,volume,bid,ask,spread,nmp_low,nmp_high
ZARJPY,M1,2026.05.01 21:54:00,9.40800,9.40900,9.40800,9.40900,4,9.39900,9.44700,48.00,0,0
ZARJPY,M1,2026.05.01 21:55:00,9.41000,9.41200,9.40900,9.41200,9,9.39900,9.44700,48.00,0,0
ZARJPY,M1,2026.05.01 21:56:00,9.41100,9.41100,9.41100,9.41100,1,9.39900,9.44700,48.00,0,0
ZARJPY,M1,2026.05.01 21:57:00,9.41000,9.41100,9.40400,9.40400,7,9.39900,9.44700,48.00,0,0
ZARJPY,M1,2026.05.01 21:58:00,9.40500,9.40600,9.40000,9.40100,9,9.39900,9.44700,48.00,0,0
ZARJPY,M1,2026.05.01 21:59:00,9.40000,9.40400,9.39900,9.40300,14,9.39900,9.44700,48.00,0,0
ZARJPY,M1,2026.05.01 22:00:00,9.40400,9.40400,9.40300,9.40300,6,9.39900,9.44700,48.00,0,0
ZARJPY,M1,2026.05.01 22:01:00,9.40400,9.40400,9.40200,9.40300,6,9.39900,9.44700,48.00,0,0
ZARJPY,M1,2026.05.01 22:02:00,9.40200,9.40400,9.40200,9.40400,4,9.39900,9.44700,48.00,0,0
ZARJPY,M1,2026.05.01 22:03:00,9.40500,9.40500,9.40400,9.40500,3,9.39900,9.44700,48.00,0,0
ZARJPY,M1,2026.05.01 22:04:00,9.40600,9.40600,9.40500,9.40500,4,9.39900,9.44700,48.00,0,0
ZARJPY,M1,2026.05.01 22:05:00,9.40600,9.40600,9.40400,9.40500,6,9.39900,9.44700,48.00,0,0
ZARJPY,M1,2026.05.01 22:06:00,9.40600,9.40600,9.40500,9.40500,2,9.39900,9.44700,48.00,0,0
ZARJPY,M1,2026.05.01 22:07:00,9.40600,9.40700,9.40500,9.40500,4,9.39900,9.44700,48.00,0,0
ZARJPY,M1,2026.05.01 22:09:00,9.40400,9.40600,9.40400,9.40600,5,9.39900,9.44700,48.00,0,0
ZARJPY,M1,2026.05.01 22:10:00,9.40500,9.40800,9.40500,9.40800,4,9.39900,9.44700,48.00,0,0
ZARJPY,M1,2026.05.01 22:11:00,9.40700,9.40800,9.40700,9.40800,6,9.39900,9.44700,48.00,0,0
ZARJPY,M1,2026.05.01 22:13:00,9.40900,9.40900,9.40800,9.40900,3,9.39900,9.44700,48.00,0,0
ZARJPY,M1,2026.05.01 22:14:00,9.40800,9.40900,9.40800,9.40900,2,9.39900,9.44700,48.00,0,0
ZARJPY,M1,2026.05.01 22:15:00,9.41000,9.41000,9.40900,9.40900,4,9.39900,9.44700,48.00,0,0
ZARJPY,M1,2026.05.01 22:16:00,9.40800,9.40800,9.40700,9.40700,2,9.39900,9.44700,48.00,0,0
ZARJPY,M1,2026.05.01 22:17:00,9.40800,9.40900,9.40800,9.40800,3,9.39900,9.44700,48.00,0,0
ZARJPY,M1,2026.05.01 22:19:00,9.40900,9.40900,9.40800,9.40800,2,9.39900,9.44700,48.00,0,0
ZARJPY,M1,2026.05.01 22:20:00,9.40700,9.40800,9.40700,9.40700,3,9.39900,9.44700,48.00,0,0
ZARJPY,M1,2026.05.01 22:23:00,9.40800,9.40800,9.40700,9.40700,2,9.39900,9.44700,48.00,0,0
ZARJPY,M1,2026.05.01 22:24:00,9.40800,9.40800,9.40800,9.40800,1,9.39900,9.44700,48.00,0,0
ZARJPY,M1,2026.05.01 22:25:00,9.40700,9.40800,9.40700,9.40800,4,9.39900,9.44700,48.00,0,0
ZARJPY,M1,2026.05.01 22:26:00,9.40700,9.40800,9.40700,9.40800,2,9.39900,9.44700,48.00,0,0
ZARJPY,M1,2026.05.01 22:28:00,9.40700,9.40800,9.40700,9.40700,3,9.39900,9.44700,48.00,0,0
ZARJPY,M1,2026.05.01 22:29:00,9.40600,9.40600,9.40500,9.40500,2,9.39900,9.44700,48.00,0,0
ZARJPY,M1,2026.05.01 22:30:00,9.40400,9.40400,9.40300,9.40400,3,9.39900,9.44700,48.00,0,0
ZARJPY,M1,2026.05.01 22:31:00,9.40300,9.40300,9.40200,9.40300,5,9.39900,9.44700,48.00,0,0
ZARJPY,M1,2026.05.01 22:32:00,9.40200,9.40300,9.40200,9.40200,3,9.39900,9.44700,48.00,0,0
ZARJPY,M1,2026.05.01 22:34:00,9.40100,9.40100,9.40100,9.40100,1,9.39900,9.44700,48.00,0,0
ZARJPY,M1,2026.05.01 22:35:00,9.40200,9.40400,9.40200,9.40200,11,9.39900,9.44700,48.00,0,0
ZARJPY,M1,2026.05.01 22:36:00,9.40300,9.40300,9.40200,9.40300,3,9.39900,9.44700,48.00,0,0
ZARJPY,M1,2026.05.01 22:38:00,9.40400,9.40400,9.40300,9.40300,2,9.39900,9.44700,48.00,0,0
ZARJPY,M1,2026.05.01 22:39:00,9.40400,9.40400,9.40300,9.40300,4,9.39900,9.44700,48.00,0,0
ZARJPY,M1,2026.05.01 22:40:00,9.40400,9.40400,9.40100,9.40100,6,9.39900,9.44700,48.00,0,0
ZARJPY,M1,2026.05.01 22:42:00,9.40000,9.40100,9.40000,9.40100,2,9.39900,9.44700,48.00,0,0
ZARJPY,M1,2026.05.01 22:43:00,9.40000,9.40200,9.40000,9.40100,4,9.39900,9.44700,48.00,0,0
ZARJPY,M1,2026.05.01 22:44:00,9.40200,9.40200,9.40200,9.40200,1,9.39900,9.44700,48.00,0,0
ZARJPY,M1,2026.05.01 22:45:00,9.40100,9.40100,9.40000,9.40100,3,9.39900,9.44700,48.00,0,0
ZARJPY,M1,2026.05.01 22:46:00,9.40200,9.40200,9.40100,9.40100,2,9.39900,9.44700,48.00,0,0
ZARJPY,M1,2026.05.01 22:49:00,9.40200,9.40200,9.40100,9.40100,2,9.39900,9.44700,48.00,0,0
ZARJPY,M1,2026.05.01 22:50:00,9.40000,9.40000,9.39900,9.39900,2,9.39900,9.44700,48.00,0,0
