candidate_id,candidate_name,source_or_algorithm,runtime_service,endpoint_or_contract,origin_classification,exclusion_classification,exclusion_reason,retained_for_reinspection
CAP-704A09E12FD2,App,apps/ndsp-layers-api/app.py,ndsp-layers-api.service,GET /api/admin/layers/run,LOCAL_ONLY,GENERIC_SYMBOL_FALSE_POSITIVE,App,true
CAP-74C6E6AC5D7F,App,apps/ndsp-layers-api/app.py,ndsp-layers-api.service,GET /api/admin/layers/context,LOCAL_ONLY,GENERIC_SYMBOL_FALSE_POSITIVE,App,true
CAP-A13775EC0349,App,apps/ndsp-raw-cot-gateway/app.py,ndsp-raw-cot-gateway.service,GET /api/admin/raw-cot/health,LOCAL_ONLY,GENERIC_SYMBOL_FALSE_POSITIVE,App,true
CAP-AB7F1F69B1BA,App,apps/ndsp-raw-cot-gateway/app.py,ndsp-raw-cot-gateway.service,GET /api/admin/raw-cot/status,LOCAL_ONLY,GENERIC_SYMBOL_FALSE_POSITIVE,App,true
CAP-B5FC4624A275,App,apps/ndsp-layers-api/app.py,ndsp-layers-api.service,POST /api/admin/layers/run,LOCAL_ONLY,GENERIC_SYMBOL_FALSE_POSITIVE,App,true
CAP-DBF78A41FFC8,App,apps/ndsp-layers-api/app.py,ndsp-layers-api.service,GET /api/admin/layers/health,LOCAL_ONLY,GENERIC_SYMBOL_FALSE_POSITIVE,App,true
CAP-E840E4FA370F,App,apps/ndsp-raw-cot-gateway/app.py,ndsp-raw-cot-gateway.service,POST /api/admin/raw-cot/import-current,LOCAL_ONLY,GENERIC_SYMBOL_FALSE_POSITIVE,App,true
CAP-F622CB86AFFF,App,apps/ndsp-raw-cot-gateway/app.py,ndsp-raw-cot-gateway.service,GET /api/admin/raw-cot/import-current,LOCAL_ONLY,GENERIC_SYMBOL_FALSE_POSITIVE,App,true
CAP-0E126A48B80F,Main,backend/services/completed_decision/main.cjs,DISCOVERY_REQUIRED,GET /api/completed/latest,LOCAL_ONLY,GENERIC_SYMBOL_FALSE_POSITIVE,Main,true
CAP-0F233F5BDA2D,Main,backend/services/completed_decision/main.cjs,DISCOVERY_REQUIRED,GET /api/completed/:symbol,LOCAL_ONLY,GENERIC_SYMBOL_FALSE_POSITIVE,Main,true
CAP-124CBB3A55BD,Main,backend/services/bot_execution/main.cjs,DISCOVERY_REQUIRED,GET /api/bot/:symbol,LOCAL_ONLY,GENERIC_SYMBOL_FALSE_POSITIVE,Main,true
CAP-127F45D4B95F,Main,backend/services/bot_execution/main.cjs,DISCOVERY_REQUIRED,POST /api/bot/simulate,LOCAL_ONLY,GENERIC_SYMBOL_FALSE_POSITIVE,Main,true
CAP-1B9B8E3C0FAF,Main,backend/services/completed_decision/main.cjs,DISCOVERY_REQUIRED,GET /api/completed/id/:decision_id,LOCAL_ONLY,GENERIC_SYMBOL_FALSE_POSITIVE,Main,true
CAP-1EA13EB7F5B2,Main,backend/services/bot_execution/main.cjs,DISCOVERY_REQUIRED,GET /health,LOCAL_ONLY,GENERIC_SYMBOL_FALSE_POSITIVE,Main,true
