semantic_cluster_id,candidate_count,capability_ids,capability_names,endpoint_contracts,sources,deduplication_status
CLUSTER-00830B85A41852B9,2,CAP-A294A80A744D|CAP-D054F1321201,Ndsp User Login Gateway,POST /API/AUTH/2FA/SETUP/CONFIRM-FINAL,backend/auth_api/ndsp_user_login_gateway.cjs|backend/ndsp_user_login_gateway.cjs,SEMANTIC_DUPLICATES_RETAINED
CLUSTER-0328C106FF332C89,1,CAP-4B8CAC6792AE,Ndsp User Portal Final Experience V1 One Script,GET /API/USER/EXPERIENCE,NDSP_USER_PORTAL_FINAL_EXPERIENCE_V1_ONE_SCRIPT.sh,UNIQUE
CLUSTER-0412272E609423D6,1,CAP-B89CF4208B10,Grade From Score,,backend/app/support_layers/quality/decision_quality_stack.py,UNIQUE
CLUSTER-04AE942A6CCB8C5A,2,CAP-329C5FE62399|CAP-5649C9641068,Nowpayments Create Alias|User Operational Compat,POST /API/V6/PAYMENTS/NOWPAYMENTS/SUBSCRIPTION/CREATE,backend/app/api/compat/nowpayments_create_alias.py|backend/app/api/compat/user_operational_compat.py,SEMANTIC_DUPLICATES_RETAINED
CLUSTER-0510FC78E483B3D6,1,CAP-353E6D9C0A43,Ndsp User Login Gateway,PUT /API/AUTH/PROFILE,backend/auth_api/ndsp_user_login_gateway.cjs,UNIQUE
CLUSTER-058EA84FFB96BD5C,1,CAP-B26FA1996A34,Ndsp User Login Gateway,GET /API/AUTH/PROFILE,backend/auth_api/ndsp_user_login_gateway.cjs,UNIQUE
CLUSTER-065FF7E991FE7A36,2,CAP-09B689D81772|CAP-F4D88C2A7931,Ndsp Admin Ui Proxy,GET /API/ADMIN-UI/HEALTH,backend/auth_api/ndsp_admin_ui_proxy.cjs|backend/ndsp_admin_ui_proxy.cjs,SEMANTIC_DUPLICATES_RETAINED
CLUSTER-0746027563B4F7CB,1,CAP-636B50FAED04,Frontend Contract,GET /ME/DASHBOARD,backend/app/api/v1/frontend_contract.py,UNIQUE
CLUSTER-075A9C033639FAC0,1,CAP-935E1E26D22F,Dqsrisk State,,backend/app/support_layers/quality/decision_quality_stack.py,UNIQUE
CLUSTER-0AB1FDCBBD5FA5E8,1,CAP-C250957D114F,Frontend Contract,GET /ACCOUNT/TRIAL,backend/app/api/v1/frontend_contract.py,UNIQUE
CLUSTER-0AFD7CA382703AB5,1,CAP-A5C181808EF6,Frontend Contract,POST /AUTH/2FA/VERIFY,backend/app/api/v1/frontend_contract.py,UNIQUE
CLUSTER-0EDDB74E15FCFD6A,2,CAP-89287AB7B399|CAP-C216A7C8548C,Ndsp Admin Actions Bypass Old Middleware,GET /API/ADMIN-ACTIONS/USERS/ACTION/HEALTH,backend/auth_api/ndsp_admin_actions_bypass_old_middleware.cjs|backend/ndsp_admin_actions_bypass_old_middleware.cjs,SEMANTIC_DUPLICATES_RETAINED
CLUSTER-0EE83BCF1B387E47,1,CAP-E07F7BC7E52F,Ndsp User Login Gateway,POST /API/AUTH/INTERNAL/EVIDENCE,backend/auth_api/ndsp_user_login_gateway.cjs,UNIQUE
CLUSTER-1143EF6BAB8687CD,1,CAP-D6102C7DC3C1,Frontend Contract,GET /PACKAGES,backend/app/api/v1/frontend_contract.py,UNIQUE
CLUSTER-12CE9BAE31EA4CB2,1,CAP-EDF3F96EC14B,User Operational Compat,POST /API/TRIAL/REGISTER,backend/app/api/compat/user_operational_compat.py,UNIQUE
CLUSTER-1331DA2B82D10D74,4,CAP-1FBA01D3C252|CAP-4515D5FBBBF3|CAP-D64F1CFB3F24|CAP-F5C8984FC6A0,About|Framework Adapter,GET /ABOUT,backend/framework/about/about.cjs|backend/services/bot_execution/framework-adapter.cjs|backend/services/completed_decision/framework-adapter.cjs|backend/services/decision_governance_core/framework-adapter.cjs,SEMANTIC_DUPLICATES_RETAINED
