capability_id,capability_name,gap_type,recommended_screen,closure_status,closure_value,closure_basis,confidence,test_evidence_count,ui_evidence_count,human_confirmation_required,ui_complete
CAP-235EF538DEF9,Auth Reset,DATA_STATE_UNVERIFIED,AUTHENTICATION,BLOCKED_MOCK_SIGNATURE_PRESENT,,MOCK_SIGNATURE,HIGH,1,0,true,false
CAP-A5C181808EF6,Frontend Contract,DATA_STATE_UNVERIFIED,AUTHENTICATION,EVIDENCE_FOUND_PENDING_HUMAN_CONFIRMATION,REAL_LIVE,DATA_CLIENT_SIGNATURE:CSV|HTTP_API|JSON|POSTGRES|WEBSOCKET,MEDIUM,0,0,true,false
CAP-2CD69A7EA838,Frontend Contract,DATA_STATE_UNVERIFIED,AUTHENTICATION,BLOCKED_MOCK_SIGNATURE_PRESENT,,MOCK_SIGNATURE,HIGH,1,0,true,false
CAP-1736E39D1CE4,Frontend Contract,DATA_STATE_UNVERIFIED,AUTHENTICATION,EVIDENCE_FOUND_PENDING_HUMAN_CONFIRMATION,REAL_LIVE,DATA_CLIENT_SIGNATURE:CSV|HTTP_API|JSON|POSTGRES|WEBSOCKET,MEDIUM,0,0,true,false
CAP-C8C94E7A8122,Frontend Contract,DATA_STATE_UNVERIFIED,AUTHENTICATION,BLOCKED_MOCK_SIGNATURE_PRESENT,,MOCK_SIGNATURE,HIGH,0,1,true,false
CAP-55015F233F5A,Frontend Contract,DATA_STATE_UNVERIFIED,AUTHENTICATION,EVIDENCE_FOUND_PENDING_HUMAN_CONFIRMATION,REAL_LIVE,DATA_CLIENT_SIGNATURE:CSV|HTTP_API|JSON|POSTGRES|WEBSOCKET,MEDIUM,0,0,true,false
CAP-D0B86CD5E331,Frontend Contract,DATA_STATE_UNVERIFIED,AUTHENTICATION,BLOCKED_MOCK_SIGNATURE_PRESENT,,MOCK_SIGNATURE,HIGH,0,1,true,false
CAP-862CD297F1FD,Frontend Contract,DATA_STATE_UNVERIFIED,AUTHENTICATION,BLOCKED_MOCK_SIGNATURE_PRESENT,,MOCK_SIGNATURE,HIGH,0,1,true,false
CAP-2B9AC68DB1D6,Assert No Decision Mutation,API_CONTRACT_UNVERIFIED,DECISION_ROOM,EVIDENCE_FOUND_PENDING_HUMAN_CONFIRMATION,DELETE /admin/plan-features/:id|DELETE /admin/users/:id|GET /admin/feedback|GET /admin/notifications|GET /admin/plans|GET /admin/stats|GET /admin/upgrade-requests|GET /admin/users|GET /api/account/trial|GET /api/admin-actions/users/action/health|GET /api/admin-ui/alerts|GET /api/admin-ui/backups|GET /api/admin-ui/governance|GET /api/admin-ui/health|GET /api/admin-ui/markets|GET /api/admin-ui/packages|GET /api/admin-ui/payments|GET /api/admin-ui/summary|GET /api/admin-ui/trials|GET /api/admin-ui/users|GET /api/admin/telegram-routing/status|GET /api/admin/users/action/health|GET /api/alerts/status|GET /api/auth/2fa/status|GET /api/auth/login/health|GET /api/auth/session|GET /api/decision/quality|GET /api/markets|GET /api/packages|GET /api/payments/status|GET /api/user-dashboard/saas-policy|GET /health|GET /me|GET /notifications|GET /nowpayments/health|GET /plans|GET /trial/info|GET /trial/status|GET /upgrade-requests/me|GET /webhooks/nowpayments|POST /__retired_api_admin_users_action_legacy|POST /admin/feedback/:id/review|POST /admin/notifications/send|POST /admin/plans/:id/features|POST /admin/upgrade-requests/:id/review|POST /api/admin-actions/users/action|POST /api/admin-ui/action|POST /api/admin-ui/alerts/channel|POST /api/admin-ui/alerts/test|POST /api/admin/telegram-routing/test|POST /api/admin/telegram-routing/update|POST /api/auth/2fa/confirm|POST /api/auth/2fa/disable|POST /api/auth/2fa/login/verify|POST /api/auth/2fa/setup|POST /api/auth/2fa/setup/confirm|POST /api/auth/2fa/setup/confirm-final|POST /api/auth/2fa/setup/confirm-speakeasy|POST /api/auth/2fa/setup/skip|POST /api/auth/2fa/setup/start|POST /api/auth/2fa/status|POST /api/auth/login|POST /api/auth/logout|POST /auth/login|POST /auth/register|POST /checkout/create|POST /feedback|POST /notifications/:id/read|POST /upgrade-request|POST /webhooks/nowpayments|PUT /admin/plans/:id|PUT /admin/plans/:id/layers/:layerKey|PUT /admin/users/:id,STATIC_ROUTE_DECLARATION,MEDIUM,0,0,true,false
CAP-2B9AC68DB1D6,Assert No Decision Mutation,DATA_STATE_UNVERIFIED,DECISION_ROOM,BLOCKED_MOCK_SIGNATURE_PRESENT,,MOCK_SIGNATURE,HIGH,0,0,true,false
