capability_id,score,framework,method,path,router,source_file,line
CAP-4FF90CCC6DFE,200,express,GET,/policy,router,apps/ndsp-governance-bridge/policies/admin_snapshot/tdl_v2_policy_admin.py,98
CAP-4FF90CCC6DFE,140,fastapi,GET,/api/admin/timing_model-v2/auth-debug,router,apps/ndsp-governance-bridge/policies/admin_snapshot/tdl_v2_policy_admin.py,77
CAP-4FF90CCC6DFE,140,fastapi,GET,/api/admin/timing_model-v2/policy,router,apps/ndsp-governance-bridge/policies/admin_snapshot/tdl_v2_policy_admin.py,98
CAP-4FF90CCC6DFE,140,express,GET,/auth-debug,router,apps/ndsp-governance-bridge/policies/admin_snapshot/tdl_v2_policy_admin.py,77
CAP-4FF90CCC6DFE,60,express,GET,/,app,server.js,8
CAP-4FF90CCC6DFE,30,express,GET,/api/admin-ui/governance,app,backend/ndsp_admin_ui_proxy.cjs,669
CAP-4FF90CCC6DFE,20,express,GET,/api/admin-actions/users/action/health,app,backend/ndsp_admin_actions_bypass_old_middleware.cjs,225
CAP-4FF90CCC6DFE,20,express,GET,/api/admin-ui/alerts,app,backend/ndsp_admin_ui_proxy.cjs,486
CAP-4FF90CCC6DFE,20,express,GET,/api/admin-ui/backups,app,backend/ndsp_admin_ui_proxy.cjs,648
CAP-4FF90CCC6DFE,20,express,GET,/api/admin-ui/health,app,backend/ndsp_admin_ui_proxy.cjs,352
CAP-8A9DD9B6E7D5,220,express,GET,/auth-debug,router,apps/ndsp-governance-bridge/policies/admin_snapshot/tdl_v2_policy_admin.py,77
CAP-8A9DD9B6E7D5,160,fastapi,GET,/api/admin/timing_model-v2/auth-debug,router,apps/ndsp-governance-bridge/policies/admin_snapshot/tdl_v2_policy_admin.py,77
CAP-8A9DD9B6E7D5,140,fastapi,GET,/api/admin/timing_model-v2/policy,router,apps/ndsp-governance-bridge/policies/admin_snapshot/tdl_v2_policy_admin.py,98
CAP-8A9DD9B6E7D5,140,express,GET,/policy,router,apps/ndsp-governance-bridge/policies/admin_snapshot/tdl_v2_policy_admin.py,98
CAP-8A9DD9B6E7D5,60,express,GET,/,app,server.js,8
CAP-8A9DD9B6E7D5,30,express,GET,/api/admin-ui/governance,app,backend/ndsp_admin_ui_proxy.cjs,669
CAP-8A9DD9B6E7D5,20,express,GET,/api/admin-actions/users/action/health,app,backend/ndsp_admin_actions_bypass_old_middleware.cjs,225
CAP-8A9DD9B6E7D5,20,express,GET,/api/admin-ui/alerts,app,backend/ndsp_admin_ui_proxy.cjs,486
CAP-8A9DD9B6E7D5,20,express,GET,/api/admin-ui/backups,app,backend/ndsp_admin_ui_proxy.cjs,648
CAP-8A9DD9B6E7D5,20,express,GET,/api/admin-ui/health,app,backend/ndsp_admin_ui_proxy.cjs,352
CAP-15C56B60B4B0,120,express,GET,/api/auth/2fa/status,app,backend/ndsp_user_login_gateway.cjs,407
CAP-15C56B60B4B0,120,express,GET,/api/auth/login/health,app,backend/ndsp_user_login_gateway.cjs,229
CAP-15C56B60B4B0,120,express,GET,/api/auth/session,app,backend/ndsp_user_login_gateway.cjs,397
CAP-15C56B60B4B0,60,express,GET,/,app,server.js,8
CAP-15C56B60B4B0,50,express,GET,/api/user-dashboard/saas-policy,app,backend/ndsp_user_dashboard_gateway.cjs,462
CAP-15C56B60B4B0,50,express,GET,/group,searchParams,backend/ndsp_user_dashboard_gateway.cjs,416
CAP-15C56B60B4B0,40,express,GET,/api/account/trial,app,backend/ndsp_api_compat_gateway.cjs,94
CAP-15C56B60B4B0,40,express,GET,/api/alerts/status,app,backend/ndsp_api_compat_gateway.cjs,192
