capability_id,capability_name,source_evidenced,service_evidenced,endpoint_evidenced,real_data_evidenced,calculation_evidenced,test_evidenced,ui_evidenced,passed_dimension_count,total_dimension_count,remaining_gaps,recalculated_status,priority,existing_coverage_state,data_state,last_verified_at
CAP-F5C8984FC6A0,About,false,true,true,true,true,true,true,6,7,SOURCE,PARTIALLY_EVIDENCED,P0_CRITICAL,UI_PARTIAL,REAL_SNAPSHOT,2026-08-01T11:05:40.796869+00:00
CAP-8CF3F7EFFA7B,Account Trial,false,true,true,true,true,true,true,6,7,SOURCE,PARTIALLY_EVIDENCED,P0_CRITICAL,UI_PARTIAL,REAL_SNAPSHOT,2026-08-01T11:05:40.796869+00:00
CAP-E739D717BE35,Admin Health,false,true,true,true,true,true,true,6,7,SOURCE,PARTIALLY_EVIDENCED,P0_CRITICAL,UI_PARTIAL,REAL_SNAPSHOT,2026-08-01T11:05:40.796869+00:00
CAP-A069C614B1B1,Admin Layers,false,true,true,true,true,true,true,6,7,SOURCE,PARTIALLY_EVIDENCED,P0_CRITICAL,UI_PARTIAL,REAL_SNAPSHOT,2026-08-01T11:05:40.796869+00:00
CAP-6F5DF526EE59,Admin Only,false,true,true,true,true,true,true,6,7,SOURCE,PARTIALLY_EVIDENCED,P0_CRITICAL,UI_PARTIAL,REAL_SNAPSHOT,2026-07-31T23:17:31Z
CAP-B2BAF38F8204,Admin Only,false,true,true,true,true,true,true,6,7,SOURCE,PARTIALLY_EVIDENCED,P0_CRITICAL,UI_PARTIAL,REAL_SNAPSHOT,2026-07-31T22:08:07Z
CAP-3FBDCF7CE0E5,Admin Payment Approve,false,true,true,true,true,true,true,6,7,SOURCE,PARTIALLY_EVIDENCED,P0_CRITICAL,UI_PARTIAL,REAL_SNAPSHOT,2026-08-01T11:05:40.796869+00:00
CAP-531AC9AE3E7D,Admin Payment Reject,false,true,true,true,true,true,true,6,7,SOURCE,PARTIALLY_EVIDENCED,P0_CRITICAL,UI_PARTIAL,REAL_SNAPSHOT,2026-08-01T11:05:40.796869+00:00
CAP-BE68902B1F61,Admin Payments,false,true,true,true,true,true,true,6,7,SOURCE,PARTIALLY_EVIDENCED,P0_CRITICAL,UI_PARTIAL,REAL_SNAPSHOT,2026-08-01T11:05:40.796869+00:00
CAP-968B626DE9C3,Admin Registration Decision,false,true,true,true,true,true,true,6,7,SOURCE,PARTIALLY_EVIDENCED,P0_CRITICAL,UI_PARTIAL,REAL_SNAPSHOT,2026-08-01T11:05:40.796869+00:00
