path,source_kind,categories,matched_concepts,match_count,line_map,flags,sha256,evidence_sample
apps/ndsp-governance-bridge/app/core/__init__.py,RUNTIME_IMPLEMENTATION,CORE_EXPANDED,core,1,"{""core"": ""1""}",NONE,587dfeba11b7267d360793cb606bd57fbf6262215f07a2b552e8770a970808aa,"1:""""""Core services for the NDSP governance bridge."""""""
apps/ndsp-governance-bridge/app/core/tdl_v2_policy.py,RUNTIME_IMPLEMENTATION,DIRECTION|TIME,calendar_day|day_control|direction|long_short|utc,52,"{""calendar_day"": ""77;123;124;125;126;127;128;129;171;174;175;176;177;178;179;180;198;216;219;223"", ""day_control"": ""13;88;101;113;122"", ""direction"": ""108;112;114;123;124;125;126;127;128;129;132;163;187;194;205;212;230;231;238;242"", ""long_short"": ""89;102;187;205"", ""utc"": ""24;76;170""}",NONE,916fd5074c00ea149e418166b0700ca188d68f5f404bd18b839a63a2324aa3a7,"13:""timing_mode"": ""control_days"", | 24:return datetime.now(timezone.utc).isoformat() | 76:now = datetime.now(timezone.utc) | 77:weekday = now.weekday() # Monday=0 ... Sunday=6 | 88:""timing_mode"": policy.get(""timing_mode"", ""control_days""),"
apps/ndsp-governance-bridge/policies/admin_snapshot/tdl_v2_policy_admin.py,RUNTIME_IMPLEMENTATION,CORE_EXPANDED|TIME,core|day_control,3,"{""core"": ""9"", ""day_control"": ""122;141""}",NONE,bd044be248c4958803b6612b4e8819226b38ef874255e02f56f132e1820eb380,"9:from app.core.tdl_v2_policy import read_tdl_v2_policy, write_tdl_v2_policy | 122:if ""timing_mode"" in updates and updates[""timing_mode""] not in {""control_days"", ""bypassed"", ""experimental""}: | 141:{""timing_layer_enabled"": True, ""timing_mode"": ""control_days""},"
backend/app/api/v1/frontend_contract.py,CONTRACT,DIRECTION|TIME,direction|long_short|utc,10,"{""direction"": ""286;287;294;340;391"", ""long_short"": ""287"", ""utc"": ""13;145;160;316""}",NONE,d4d2bde00b9b1fbae357bfe6d7a05b2e10c79ef52f73e4180646a0581cbf71c9,"13:return datetime.now(timezone.utc).isoformat() | 145:started = datetime.now(timezone.utc) | 160:started = datetime.now(timezone.utc) - timedelta(days=0) | 286:""bias"": ""flat"", | 287:""horizon"": ""short"","
backend/app/support_layers/quality/decision_quality_stack.py,RUNTIME_IMPLEMENTATION,DIRECTION,changes|direction,2,"{""changes"": ""10"", ""direction"": ""10""}",NONE,bf173d2931da605f001d11284a180d820891f26369bfd1bb3c67ae24728564ff,10:- DQS must never change decision.direction.
backend/app/support_layers/scenario/scenario_engine.py,RUNTIME_IMPLEMENTATION,DIRECTION,changes|direction,26,"{""changes"": ""12;13;14;15;63"", ""direction"": ""12;66;99;100;101;110;126;219;222;223;224;225;227;228;229;230;325;327;333;345;+1""}",NONE,8ef29aa4f4b074a36d50665196b30feaa6fd7e89203cb6be5b57457da049c88c,12:- Does not change direction. | 13:- Does not change confidence. | 14:- Does not change risk_state. | 15:- Does not change decision_state. | 63:It has no authority to change the decision contract.
backend/middleware/trialGuard.js,RUNTIME_IMPLEMENTATION,TIME,utc,1,"{""utc"": ""41""}",LOCAL_TIME_USAGE,0fad72a857b98cd2393599312e44d4783dddf931d15fcae52101274265f90cd9,"41:return date.toISOString().slice(0, 10);"
backend/ndsp_admin_actions_gateway.cjs,INTEGRATION,TIME,utc,1,"{""utc"": ""175""}",LEGACY_PATH_REFERENCE,84b80498bd731e97ddb87868f95da64e394f3b4fa22b02450fdf13fa55995f5a,"175:generated_at: new Date().toISOString(),"
backend/ndsp_admin_extension.cjs,RUNTIME_IMPLEMENTATION,CORE_EXPANDED,internal_api,2,"{""internal_api"": ""231;746""}",NONE,b40726c1784c46f55f467fbd1cf70e927c547ebdf183f22f8c7fc4f2ec84895c,"231:admin.get('/health', (_req, res) => res.json({ ok: true, service: 'ndsp-admin-api' })); | 746:console.log('✅ NDSP admin API mounted on /api/admin');"
backend/ndsp_admin_migrate.cjs,RUNTIME_IMPLEMENTATION,CORE_EXPANDED|DIRECTION,core|other_reportables,2,"{""core"": ""110"", ""other_reportables"": ""194""}",NONE,3d30cf78ed11d0e583aa3e928b9826376f1c79b627ad458b91a3df948cded75e,"110:('sovereign_core', 'Sovereign Core', 'طبقة سيادية محمية', FALSE, TRUE, 100), | 194:EXCEPTION WHEN others THEN"
backend/ndsp_admin_ui_proxy.cjs,RUNTIME_IMPLEMENTATION,CORE_EXPANDED|TIME,core|utc,4,"{""core"": ""26;27;224"", ""utc"": ""361""}",NONE,73baa76f5df53e80b55839a950bef6d02eb92cf331eb5e161a4fe90eb1ffdb32,26:loadEnvFile('/home/nawaf511/empire-core-new/backend/.env') | 27:loadEnvFile('/home/nawaf511/empire-core-new/backend/auth_api/.env') | 224:const NDSP_ALERT_STATE_FILE = '/home/nawaf511/empire-core-new/backend/auth_api/ndsp_alert_channels_state.json' | 361:timestamp:new Date().toISOString()
backend/ndsp_admin_users_official_readonly.cjs,RUNTIME_IMPLEMENTATION,CORE_EXPANDED,core,2,"{""core"": ""28;29""}",NONE,8781ed99248a11a063a7b6c36d8db39bc7deb4488ae9de02e4fcb52bf812a025,"28:'/home/nawaf511/empire-core-new/backend/.env', | 29:'/home/nawaf511/empire-core-new/backend/auth_api/.env'"
backend/ndsp_api_compat_gateway.cjs,INTEGRATION,CORE_EXPANDED|DIRECTION|TIME,changes|core|utc,4,"{""changes"": ""29"", ""core"": ""24;25"", ""utc"": ""107""}",NONE,915359e511f0872dbdc949aab4bfc90ff4e7f44832082c8b3e2fc008d5b4b4a3,24:loadEnvFile('/home/nawaf511/empire-core-new/backend/.env') | 25:loadEnvFile('/home/nawaf511/empire-core-new/backend/auth_api/.env') | 29:const JWT_SECRET = process.env.JWT_SECRET || process.env.NDSP_JWT_SECRET || process.env.ADMIN_JWT_SECRET || process.env.NDSP_ADMIN_JWT_SECRET || process.env.SESSION_SECRET || 'chan | 107:const started = u.trial_started_at || u.activated_at || new Date().toISOString()
