path,size_bytes,mode,sha256
CHANGELOG.md,132,0o664,642818b9fc1454e94e4218a24c4fa6879de1140fd6081ffd12b100e0d00d684f
MIGRATION_STATUS.md,926,0o664,e4dc350ddbead591a5794bf5666186ab1ff307554879a4ff7637c1d972b2ea14
README.md,255,0o664,960270ae250cc634d608edbb69caff849368a93f81aaa4b0a0310e95f4e893f6
config/default.env,35,0o664,d699f83f678826fc47268c84013f4ad1957a1cd635001643cb4e7478351348e3
contracts/DGC-001-CONTRACT.md,207,0o664,1ad9e15b36a1a85365adf149cb0ba73dad3fad0c4ece5f9c9d9ee505bdcafe37
contracts/DGC-001-ENG-001-ADAPTER-CONTRACT.md,789,0o664,c9954844aaa9eabd508aad2445e900d6f27e8f815f9187c8c4abc2a7b34a7fa6
docs/ARCHITECTURE.md,159,0o664,e2eca3e530fc137cb8f12f0b3f051cbfc6ab088c46a36d1e22f012fc2d9a08a0
docs/README.md,431,0o664,748cbfcdb52546644388503a1ba8e3127a23fee361b66a98dfac735f27abbc00
framework-adapter.cjs,1998,0o664,e55a3f539543c0f2a76179a485e1eb6119c0c9e3e1affc1149959ee7285b53c3
main.cjs,5826,0o664,d70319d88f2309cf94a23770c2ed89d439050d153a2133e0edca5e203c166719
package.json,257,0o664,7d60a92c62f54ad34d012cddaf0be90ba7d003e5d896ce952311d86187798558
service.yaml,400,0o664,91ac23a14a3b78fd57712814dd499dec15df14d640be12a2eeefae4abcf528fc
systemd/ndsp-decision_governance_core.service,562,0o664,c646983b47d765324fc93d91f1f3d7df4d5a6d484702281fffec54372597a9c5
tests/legacy-structure.test.sh,321,0o775,c789cb15389c00b77ddf671f80eaec89e27853216e77c2a62f05c91a288bf17d
