ID	Category	Classification	SourcePath	SourceFile	SourceLines	SHA256	Snippet	Notes
EVD-95f06c2b8cf9	GOVERNANCE_DISCOVERY	INFERRED_FROM_SOURCE	.github/workflows/ndsp-project-validator.yml	ndsp-project-validator.yml	24	a900043a8d74aa1ac1ce1059637e79166e52c23f956f11a0ff5d501e1cc24c3f	node-version: '22'	Candidate evidence only; manual verification required.
EVD-6381c7d12805	GOVERNANCE_DISCOVERY	INFERRED_FROM_SOURCE	.github/workflows/ndsp-project-validator.yml	ndsp-project-validator.yml	29	a900043a8d74aa1ac1ce1059637e79166e52c23f956f11a0ff5d501e1cc24c3f	python-version: '3.12'	Candidate evidence only; manual verification required.
EVD-a5fde95f9788	GOVERNANCE_DISCOVERY	DOCUMENTATION_ONLY	DSP_NMP_V1_POLICY.md	DSP_NMP_V1_POLICY.md	1	f8e271110713b83199e5f0877226f08fd59a384c34c13ed4a35872d3a7e69c93	# DSP NMP v1 Policy	Candidate evidence only; manual verification required.
EVD-1ad3de31201d	GOVERNANCE_DISCOVERY	DOCUMENTATION_ONLY	DSP_NMP_V1_POLICY.md	DSP_NMP_V1_POLICY.md	5	f8e271110713b83199e5f0877226f08fd59a384c34c13ed4a35872d3a7e69c93	Operational version:	Candidate evidence only; manual verification required.
EVD-7bb1c34260f9	GOVERNANCE_DISCOVERY	DOCUMENTATION_ONLY	NDSP_UI_CHANGE_GOVERNANCE_FINAL.md	NDSP_UI_CHANGE_GOVERNANCE_FINAL.md	1	801cbc06a990e0f6752463f5051fa950c54c388571070e85f6f6491b6dc9e524	# NDSP UI Change Governance — حوكمة تعديلات الواجهة	Candidate evidence only; manual verification required.
EVD-1f1b7829c8f5	GOVERNANCE_DISCOVERY	DOCUMENTATION_ONLY	NDSP_UI_CHANGE_GOVERNANCE_FINAL.md	NDSP_UI_CHANGE_GOVERNANCE_FINAL.md	11	801cbc06a990e0f6752463f5051fa950c54c388571070e85f6f6491b6dc9e524	تم اعتماد هذه السياسة بعد تكرار كسر واجهات NDSP بسبب:	Candidate evidence only; manual verification required.
EVD-d6bfaf54788b	GOVERNANCE_DISCOVERY	DOCUMENTATION_ONLY	NDSP_UI_CHANGE_GOVERNANCE_FINAL.md	NDSP_UI_CHANGE_GOVERNANCE_FINAL.md	34	801cbc06a990e0f6752463f5051fa950c54c388571070e85f6f6491b6dc9e524	اعتماد	Candidate evidence only; manual verification required.
EVD-fe80c8136bf7	GOVERNANCE_DISCOVERY	DOCUMENTATION_ONLY	NDSP_UI_CHANGE_GOVERNANCE_FINAL.md	NDSP_UI_CHANGE_GOVERNANCE_FINAL.md	112	801cbc06a990e0f6752463f5051fa950c54c388571070e85f6f6491b6dc9e524	- Audit log.	Candidate evidence only; manual verification required.
EVD-62ee9bca5fb4	GOVERNANCE_DISCOVERY	DOCUMENTATION_ONLY	NDSP_UI_CHANGE_GOVERNANCE_FINAL.md	NDSP_UI_CHANGE_GOVERNANCE_FINAL.md	163	801cbc06a990e0f6752463f5051fa950c54c388571070e85f6f6491b6dc9e524	## 11) Rollback	Candidate evidence only; manual verification required.
EVD-263208a0f4b6	GOVERNANCE_DISCOVERY	DOCUMENTATION_ONLY	README.md	README.md	4	4d0da5464ff453c73b863cd4a3fee31ae1c116d0c4f6b6118ace845f996f2823	## NDSP Governance	Candidate evidence only; manual verification required.
