ID	RouteType	Method	PathGuess	SourcePath	SourceLine	SHA256	Snippet	Classification	Notes
RTE-000001	SOURCE_ROUTE_CANDIDATE	GET	/auth-debug	apps/ndsp-governance-bridge/policies/admin_snapshot/tdl_v2_policy_admin.py	77	bd044be248c4958803b6612b4e8819226b38ef874255e02f56f132e1820eb380	"@router.get(""/auth-debug"")"	INFERRED_FROM_SOURCE	Manual verification required
RTE-000002	SOURCE_ROUTE_CANDIDATE	GET	/policy	apps/ndsp-governance-bridge/policies/admin_snapshot/tdl_v2_policy_admin.py	98	bd044be248c4958803b6612b4e8819226b38ef874255e02f56f132e1820eb380	"@router.get(""/policy"")"	INFERRED_FROM_SOURCE	Manual verification required
RTE-000003	SOURCE_ROUTE_CANDIDATE	POST	/policy	apps/ndsp-governance-bridge/policies/admin_snapshot/tdl_v2_policy_admin.py	108	bd044be248c4958803b6612b4e8819226b38ef874255e02f56f132e1820eb380	"@router.post(""/policy"")"	INFERRED_FROM_SOURCE	Manual verification required
RTE-000004	SOURCE_ROUTE_CANDIDATE	POST	/timing/enable	apps/ndsp-governance-bridge/policies/admin_snapshot/tdl_v2_policy_admin.py	131	bd044be248c4958803b6612b4e8819226b38ef874255e02f56f132e1820eb380	"@router.post(""/timing/enable"")"	INFERRED_FROM_SOURCE	Manual verification required
RTE-000005	SOURCE_ROUTE_CANDIDATE	POST	/timing/disable	apps/ndsp-governance-bridge/policies/admin_snapshot/tdl_v2_policy_admin.py	147	bd044be248c4958803b6612b4e8819226b38ef874255e02f56f132e1820eb380	"@router.post(""/timing/disable"")"	INFERRED_FROM_SOURCE	Manual verification required
RTE-000006	SOURCE_ROUTE_CANDIDATE	GET	instrument	apps/ndsp-layers-api/app.py	190	d7f05bb3b4e23505240c66794b71ed8a93a7198d5e30baf0ee6d49011a537e69	"instrument = raw.get(""instrument"") if isinstance(raw.get(""instrument""), dict) else {}"	INFERRED_FROM_SOURCE	Manual verification required
RTE-000007	SOURCE_ROUTE_CANDIDATE	GET	scenario	apps/ndsp-layers-api/app.py	191	d7f05bb3b4e23505240c66794b71ed8a93a7198d5e30baf0ee6d49011a537e69	"scenario = raw.get(""scenario"") if isinstance(raw.get(""scenario""), dict) else {}"	INFERRED_FROM_SOURCE	Manual verification required
RTE-000008	SOURCE_ROUTE_CANDIDATE	GET	allowed_public_outputs	apps/ndsp-layers-api/app.py	192	d7f05bb3b4e23505240c66794b71ed8a93a7198d5e30baf0ee6d49011a537e69	"public = raw.get(""allowed_public_outputs"") if isinstance(raw.get(""allowed_public_outputs""), dict) else {}"	INFERRED_FROM_SOURCE	Manual verification required
RTE-000009	SOURCE_ROUTE_CANDIDATE	GET	live_market_analysis	apps/ndsp-layers-api/app.py	193	d7f05bb3b4e23505240c66794b71ed8a93a7198d5e30baf0ee6d49011a537e69	"live = raw.get(""live_market_analysis"") if isinstance(raw.get(""live_market_analysis""), dict) else {}"	INFERRED_FROM_SOURCE	Manual verification required
RTE-000010	SOURCE_ROUTE_CANDIDATE	GET	symbol	apps/ndsp-layers-api/app.py	196	d7f05bb3b4e23505240c66794b71ed8a93a7198d5e30baf0ee6d49011a537e69	"instrument.get(""symbol"")"	INFERRED_FROM_SOURCE	Manual verification required
RTE-000011	SOURCE_ROUTE_CANDIDATE	GET	symbol	apps/ndsp-layers-api/app.py	197	d7f05bb3b4e23505240c66794b71ed8a93a7198d5e30baf0ee6d49011a537e69	"or raw.get(""symbol"")"	INFERRED_FROM_SOURCE	Manual verification required
RTE-000012	SOURCE_ROUTE_CANDIDATE	GET	asset	apps/ndsp-layers-api/app.py	198	d7f05bb3b4e23505240c66794b71ed8a93a7198d5e30baf0ee6d49011a537e69	"or raw.get(""asset"")"	INFERRED_FROM_SOURCE	Manual verification required
RTE-000013	SOURCE_ROUTE_CANDIDATE	GET	symbol	apps/ndsp-layers-api/app.py	199	d7f05bb3b4e23505240c66794b71ed8a93a7198d5e30baf0ee6d49011a537e69	"or public.get(""symbol"")"	INFERRED_FROM_SOURCE	Manual verification required
