symbol,timeframe,time,open,high,low,close,volume,bid,ask,spread,nmp_low,nmp_high
ETHUSD,M30,2026.04.03 04:00:00,2050.65,2057.90,2048.75,2056.95,1027,2282.05,2286.95,490.00,0,0
ETHUSD,M30,2026.04.03 04:30:00,2057.15,2060.15,2042.95,2048.30,1575,2282.05,2286.95,490.00,0,0
ETHUSD,M30,2026.04.03 05:00:00,2048.10,2057.80,2042.45,2046.80,1252,2282.05,2286.95,490.00,0,0
ETHUSD,M30,2026.04.03 05:30:00,2047.55,2051.95,2038.85,2050.05,1390,2282.05,2286.95,490.00,0,0
ETHUSD,M30,2026.04.03 06:00:00,2050.15,2055.05,2047.70,2050.55,1060,2282.05,2286.95,490.00,0,0
ETHUSD,M30,2026.04.03 06:30:00,2050.60,2054.00,2048.70,2051.75,886,2282.05,2286.95,490.00,0,0
ETHUSD,M30,2026.04.03 07:00:00,2051.90,2055.60,2048.90,2048.90,797,2282.05,2286.95,490.00,0,0
ETHUSD,M30,2026.04.03 07:30:00,2048.65,2054.10,2047.00,2052.25,804,2282.05,2286.95,490.00,0,0
ETHUSD,M30,2026.04.03 08:00:00,2052.45,2054.50,2045.30,2051.65,674,2282.05,2286.95,490.00,0,0
ETHUSD,M30,2026.04.03 08:30:00,2052.35,2062.10,2052.35,2054.85,1161,2282.05,2286.95,490.00,0,0
ETHUSD,M30,2026.04.03 09:00:00,2055.10,2061.15,2052.95,2057.80,1002,2282.05,2286.95,490.00,0,0
ETHUSD,M30,2026.04.03 09:30:00,2057.90,2064.80,2055.20,2061.65,1287,2282.05,2286.95,490.00,0,0
ETHUSD,M30,2026.04.03 10:00:00,2061.90,2065.90,2060.10,2063.60,1321,2282.05,2286.95,490.00,0,0
ETHUSD,M30,2026.04.03 10:30:00,2063.85,2072.95,2061.85,2063.10,927,2282.05,2286.95,490.00,0,0
ETHUSD,M30,2026.04.03 11:00:00,2063.20,2069.85,2062.30,2063.50,1194,2282.05,2286.95,490.00,0,0
ETHUSD,M30,2026.04.03 11:30:00,2063.55,2065.30,2056.40,2058.65,1102,2282.05,2286.95,490.00,0,0
ETHUSD,M30,2026.04.03 12:00:00,2058.70,2061.90,2054.75,2057.10,740,2282.05,2286.95,490.00,0,0
ETHUSD,M30,2026.04.03 12:30:00,2056.95,2060.75,2056.10,2058.85,527,2282.05,2286.95,490.00,0,0
ETHUSD,M30,2026.04.03 13:00:00,2058.50,2058.75,2053.35,2053.70,836,2282.05,2286.95,490.00,0,0
ETHUSD,M30,2026.04.03 13:30:00,2053.20,2058.40,2051.05,2057.70,785,2282.05,2286.95,490.00,0,0
ETHUSD,M30,2026.04.03 14:00:00,2057.75,2059.55,2055.60,2058.50,896,2282.05,2286.95,490.00,0,0
ETHUSD,M30,2026.04.03 14:30:00,2058.45,2062.65,2057.65,2060.70,756,2282.05,2286.95,490.00,0,0
ETHUSD,M30,2026.04.03 15:00:00,2060.75,2065.45,2056.45,2065.40,1095,2282.05,2286.95,490.00,0,0
ETHUSD,M30,2026.04.03 15:30:00,2065.35,2077.20,2043.35,2047.85,1867,2282.05,2286.95,490.00,0,0
ETHUSD,M30,2026.04.03 16:00:00,2048.40,2049.05,2039.70,2046.45,1440,2282.05,2286.95,490.00,0,0
ETHUSD,M30,2026.04.03 16:30:00,2046.55,2047.10,2039.60,2046.00,1196,2282.05,2286.95,490.00,0,0
ETHUSD,M30,2026.04.03 17:00:00,2045.55,2054.65,2042.95,2051.15,1353,2282.05,2286.95,490.00,0,0
ETHUSD,M30,2026.04.03 17:30:00,2051.50,2054.75,2046.50,2052.05,1129,2282.05,2286.95,490.00,0,0
ETHUSD,M30,2026.04.03 18:00:00,2052.00,2055.55,2048.65,2051.05,932,2282.05,2286.95,490.00,0,0
ETHUSD,M30,2026.04.03 18:30:00,2050.85,2052.25,2046.80,2048.80,745,2282.05,2286.95,490.00,0,0
ETHUSD,M30,2026.04.03 19:00:00,2048.85,2053.95,2047.30,2053.35,675,2282.05,2286.95,490.00,0,0
ETHUSD,M30,2026.04.03 19:30:00,2053.20,2054.10,2048.60,2052.35,699,2282.05,2286.95,490.00,0,0
ETHUSD,M30,2026.04.03 20:00:00,2052.30,2053.25,2041.35,2045.40,790,2282.05,2286.95,490.00,0,0
ETHUSD,M30,2026.04.03 20:30:00,2045.35,2049.05,2044.90,2047.85,663,2282.05,2286.95,490.00,0,0
ETHUSD,M30,2026.04.03 21:00:00,2048.10,2051.30,2045.45,2048.00,596,2282.05,2286.95,490.00,0,0
ETHUSD,M30,2026.04.03 21:30:00,2048.25,2051.05,2045.95,2047.00,487,2282.05,2286.95,490.00,0,0
ETHUSD,M30,2026.04.03 22:00:00,2047.20,2048.50,2043.30,2046.60,441,2282.05,2286.95,490.00,0,0
ETHUSD,M30,2026.04.03 22:30:00,2046.35,2052.15,2046.35,2050.40,381,2282.05,2286.95,490.00,0,0
ETHUSD,M30,2026.04.03 23:00:00,2050.25,2052.65,2049.85,2050.60,356,2282.05,2286.95,490.00,0,0
ETHUSD,M30,2026.04.03 23:30:00,2050.55,2052.65,2049.70,2050.75,269,2282.05,2286.95,490.00,0,0
ETHUSD,M30,2026.04.06 00:00:00,2066.45,2066.90,2055.80,2057.95,467,2282.05,2286.95,490.00,0,0
ETHUSD,M30,2026.04.06 00:30:00,2058.00,2063.05,2054.10,2057.60,510,2282.05,2286.95,490.00,0,0
